period,Belgium,Germany,Israel,Korea,Latvia,Lithuania,Norway,Switzerland
1996-01-01,,,,,,,,
1996-02-01,,,,,,,,
1996-03-01,,,,,,,,
1996-04-01,,,,,,,,
1996-05-01,,,,,,,,
1996-06-01,,,,,,,,
1996-07-01,,,,,,,,
1996-08-01,,,,,,,,
1996-09-01,,,,,,,,
1996-10-01,,,,,,,,
1996-11-01,,,,,,,,
1996-12-01,,,,,,,,
1997-01-01,2.949723483559641,2.5741447050147137,-3.402515343098411,6.480067869576356,,,-3.822121282019797,-1.9173183303927033
1997-02-01,4.318040357127106,3.3336420267592537,-3.402515343098411,8.083316768062332,,,-3.822121282019797,-0.611726631482945
1997-03-01,5.371952821020365,2.943270678711851,-3.402515343098411,7.780558562717843,,,-3.822121282019797,-0.263035237142617
1997-04-01,5.610825211699755,2.428234322700362,-4.208541856702741,7.766108990642895,,,-4.11419433311746,0.44705063699490566
1997-05-01,6.194690421564264,2.93201372569607,-4.208541856702741,8.600310312822579,,,-4.11419433311746,2.0079979486784083
1997-06-01,5.310726989652803,3.4596659879880143,-4.208541856702741,8.5193960323247,,,-4.11419433311746,2.7124904224234747
1997-07-01,7.340640422699263,4.73536963834702,-5.822077450504004,5.0712234326884875,,,1.1616781170668666,3.0789981139659695
1997-08-01,9.756540105171485,5.861550283444927,-5.822077450504004,4.6402676418818345,,,1.1616781170668666,4.634592092693168
1997-09-01,6.057348443585031,4.462180649925873,-5.822077450504004,3.8731675732172732,,,1.1616781170668666,4.024995675016463
1997-10-01,5.603389558555971,3.4332679080504747,-4.848681212706385,4.711581298976153,,,-0.1945525905491685,3.364296442259196
1997-11-01,5.532085061402281,3.182954886238676,-4.848681212706385,9.116869105054981,,,-0.1945525905491685,3.4989489562207154
1997-12-01,3.9946034942794917,2.4097551579060905,-4.848681212706385,30.230966500865186,,,-0.1945525905491685,2.902218030572712
1998-01-01,3.323313436743369,1.388034903240598,-6.3797139662860936,45.55234768987617,,,1.1916724933462852,1.9510736049747734
1998-02-01,1.2653996282772972,0.12602396122876058,-6.3797139662860936,43.12323818486874,,,1.1916724933462852,0.5100317074644423
1998-03-01,0.0834260337597037,-0.5056900788973806,-6.3797139662860936,39.890336859307496,,,1.1916724933462852,-0.24669316241112682
1998-04-01,-0.2515021585580257,-0.6333143397022845,-5.189231600351896,29.468821108987164,,,0.19980026626731373,-0.5400857010066318
1998-05-01,-1.2539790946214602,-1.6466489853580235,-5.189231600351896,27.701836710308392,,,0.19980026626731373,-1.404741945297605
1998-06-01,0.3367478978507421,-2.4220431893788863,-5.189231600351896,26.335237594181216,,,0.19980026626731373,-2.138440951583842
1998-07-01,-3.045635725975515,-3.6923354104597905,-6.862850638909634,23.497374286460015,,,-1.356609952671839,-1.9025644695660482
1998-08-01,-5.237236306313253,-5.468622469456008,-6.862850638909634,18.404505839010543,,,-1.356609952671839,-3.320262753205583
1998-09-01,-4.8762890574360895,-5.510683047088438,-6.862850638909634,21.538484937131752,,,-1.356609952671839,-3.9210725687551573
1998-10-01,-5.1822140031284825,-6.320607590379179,-5.22994994028485,22.775126457327044,,,-3.669226679992299,-4.709160753385078
1998-11-01,-5.502845295112113,-6.3369613932589,-5.22994994028485,14.195674888290633,,,-3.669226679992299,-5.366195843781085
1998-12-01,-5.445165627089743,-6.872437907024942,-5.22994994028485,-15.623312070965678,,,-3.669226679992299,-5.632733130717682
1999-01-01,-5.743546052408721,-7.006756261671754,-5.275056538552914,-35.31490665952228,-7.410797215372167,,-4.234503595735806,-5.586882067661225
1999-02-01,-5.685771695233388,-6.369924286757644,-5.275056538552914,-35.50830094024819,-7.410797215372167,,-4.234503595735806,-5.2749152238598995
1999-03-01,-3.1771115566899155,-4.936066908173942,-5.275056538552914,-28.275214818864658,-7.410797215372167,,-4.234503595735806,-4.62807525640061
1999-04-01,-2.3210778759880313,-4.018687223786976,-5.473322196089381,-16.68548395799867,-7.710239388214113,,-4.281999718292884,-4.659254685356995
1999-05-01,-1.0404141451761717,-3.1130918595172474,-5.473322196089381,-15.114513996467416,-7.710239388214113,,-4.281999718292884,-4.018687223786976
1999-06-01,-1.4959353194442748,-1.8229671491661215,-5.473322196089381,-15.463002126299852,-7.710239388214113,,-4.281999718292884,-3.3003429573776444
1999-07-01,2.505056406918005,-0.5201572196073201,0.13651879253400168,-10.371128130978402,-4.762804898925488,,-6.343344090680247,-2.8927278969406167
1999-08-01,1.8419336274487108,0.9108716198240607,0.13651879253400168,-0.10939424036378043,-4.762804898925488,,-6.343344090680247,-2.0130831651871794
1999-09-01,3.5723106604248933,2.6009268475117864,0.13651879253400168,-1.8843445024010919,-4.762804898925488,,-6.343344090680247,-0.6948694683875267
1999-10-01,5.154688541903241,4.172704422666751,-0.13431835464681185,-1.5053355982764138,-1.6775789504837046,,-1.7320860942630745,0.6703546628562762
1999-11-01,7.326187329770839,5.708423811762842,-0.13431835464681185,1.7778831363438385,-1.6775789504837046,,-1.7320860942630745,2.058136316457926
1999-12-01,9.81752072309865,7.993944989038937,-0.13431835464681185,7.215429714130472,-1.6775789504837046,,-1.7320860942630745,3.9870941611707345
2000-01-01,11.240619535752483,8.745930532858637,4.879016416943127,11.300645483547545,5.830430698059708,,0.513611812176773,4.637400536524439
2000-02-01,12.224222531243267,9.835617667662078,4.879016416943127,14.13217535396658,5.830430698059708,,0.513611812176773,6.337588629749025
2000-03-01,11.60918247613969,9.881450337115982,4.879016416943127,10.93308968872062,5.830430698059708,,0.513611812176773,6.760028766224924
2000-04-01,11.280694883346154,9.097177820572622,5.340077672711541,6.26031963667133,6.107355560624228,,3.4803922194692305,6.220868150820724
2000-05-01,13.024879014506574,10.377823684669618,5.340077672711541,8.373262646188184,6.107355560624228,,3.4803922194692305,6.503442990052299
2000-06-01,12.532204502466726,10.114665638064047,5.340077672711541,11.36725839749193,6.107355560624228,,3.4803922194692305,6.817428782645862
2000-07-01,10.505470100692094,9.803255823896695,2.2927504643704744,9.32317512946339,6.359999455530652,,4.670899796560768,6.621220761609603
2000-08-01,13.358403759562343,10.09466437637938,2.2927504643704744,3.9041781794030506,6.359999455530652,,4.670899796560768,6.284434425837304
2000-09-01,13.642854578567576,11.04821657778814,2.2927504643704744,4.1973374294808075,6.359999455530652,,4.670899796560768,7.907005261769928
2000-10-01,13.35485982576472,10.994767966473251,-0.5390848634876377,1.4925650216675024,7.772655145570617,,4.717382409231163,7.059390296235435
2000-11-01,13.856218927397457,10.068377073733448,-0.5390848634876377,3.476268712286501,7.772655145570617,,4.717382409231163,7.311059560479105
