Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Germany,Banks Balance Sheet,1950-06-30T00:00:00,30.819,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1950-07-31T00:00:00,31.695,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1950-08-31T00:00:00,32.998,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1950-09-30T00:00:00,34.619,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1950-10-31T00:00:00,36.696,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1950-11-30T00:00:00,37.6,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1950-12-31T00:00:00,39.11,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1951-01-31T00:00:00,39.196,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1951-02-28T00:00:00,40.614,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1951-03-31T00:00:00,40.657,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1951-04-30T00:00:00,40.601,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1951-05-31T00:00:00,41.251,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1951-06-30T00:00:00,42.545,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1951-07-31T00:00:00,43.398,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1951-08-31T00:00:00,44.381,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1951-09-30T00:00:00,45.401,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1951-10-31T00:00:00,46.812,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1951-11-30T00:00:00,47.733,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1951-12-31T00:00:00,50.319,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1952-01-31T00:00:00,50.318,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1952-02-29T00:00:00,51.08,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1952-03-31T00:00:00,52.475,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1952-04-30T00:00:00,52.923,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1952-05-31T00:00:00,53.505,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1952-06-30T00:00:00,54.229,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1952-07-31T00:00:00,55.345,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1952-08-31T00:00:00,56.635,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1952-09-30T00:00:00,57.69,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1952-10-31T00:00:00,58.88,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1952-11-30T00:00:00,60.418,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1952-12-31T00:00:00,63.828,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1953-01-31T00:00:00,63.628,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1953-02-28T00:00:00,64.946,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1953-03-31T00:00:00,66.23,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1953-04-30T00:00:00,67.785,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1953-05-31T00:00:00,69.396,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1953-06-30T00:00:00,70.299,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1953-07-31T00:00:00,71.429,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1953-08-31T00:00:00,72.779,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1953-09-30T00:00:00,73.902,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1953-10-31T00:00:00,74.782,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1953-11-30T00:00:00,76.326,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1953-12-31T00:00:00,78.814,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1954-01-31T00:00:00,79.312,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1954-02-28T00:00:00,81.163,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1954-03-31T00:00:00,83.01,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1954-04-30T00:00:00,84.43,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1954-05-31T00:00:00,85.784,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1954-06-30T00:00:00,87.016,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1954-07-31T00:00:00,88.384,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1954-08-31T00:00:00,90.724,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1954-09-30T00:00:00,92.381,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1954-10-31T00:00:00,93.99,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1954-11-30T00:00:00,95.796,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1954-12-31T00:00:00,100.092,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1955-01-31T00:00:00,101.007,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1955-02-28T00:00:00,102.222,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1955-03-31T00:00:00,103.568,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1955-04-30T00:00:00,105.625,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1955-05-31T00:00:00,108.051,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1955-06-30T00:00:00,109.488,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1955-07-31T00:00:00,110.852,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1955-08-31T00:00:00,112.653,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1955-09-30T00:00:00,113.763,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1955-10-31T00:00:00,115.421,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1955-11-30T00:00:00,116.317,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1955-12-31T00:00:00,119.586,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1956-01-31T00:00:00,119.061,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1956-02-29T00:00:00,120.068,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1956-03-31T00:00:00,121.545,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1956-04-30T00:00:00,123.081,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1956-05-31T00:00:00,124.362,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1956-06-30T00:00:00,125.495,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1956-07-31T00:00:00,126.259,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1956-08-31T00:00:00,127.948,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1956-09-30T00:00:00,129.237,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1956-10-31T00:00:00,130.918,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1956-11-30T00:00:00,131.981,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1956-12-31T00:00:00,134.612,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1957-01-31T00:00:00,134.048,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1957-02-28T00:00:00,136.055,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1957-03-31T00:00:00,137.82,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1957-04-30T00:00:00,138.268,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1957-05-31T00:00:00,140.478,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1957-06-30T00:00:00,142.831,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1957-07-31T00:00:00,143.824,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1957-08-31T00:00:00,147.933,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1957-09-30T00:00:00,150.247,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1957-10-31T00:00:00,151.911,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1957-11-30T00:00:00,154.622,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1957-12-31T00:00:00,157.859,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1958-01-31T00:00:00,158.063,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1958-02-28T00:00:00,161.103,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1958-03-31T00:00:00,162.825,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1958-04-30T00:00:00,164.972,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1958-05-31T00:00:00,166.972,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1958-06-30T00:00:00,168.708,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1958-07-31T00:00:00,170.082,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1958-08-31T00:00:00,172.695,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1958-09-30T00:00:00,174.337,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1958-10-31T00:00:00,175.264,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1958-11-30T00:00:00,177.201,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1958-12-31T00:00:00,179.65,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1959-01-31T00:00:00,180.425,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1959-02-28T00:00:00,182.735,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1959-03-31T00:00:00,184.646,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1959-04-30T00:00:00,186.435,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1959-05-31T00:00:00,189.31,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1959-06-30T00:00:00,191.726,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1959-07-31T00:00:00,193.899,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1959-08-31T00:00:00,197.523,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1959-09-30T00:00:00,200.183,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1959-10-31T00:00:00,203.773,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1959-11-30T00:00:00,205.16,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1959-12-31T00:00:00,210.381,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1960-01-31T00:00:00,209.889,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1960-02-29T00:00:00,212.955,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1960-03-31T00:00:00,214.883,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1960-04-30T00:00:00,217.352,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1960-05-31T00:00:00,220.356,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1960-06-30T00:00:00,221.466,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1960-07-31T00:00:00,223.368,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1960-08-31T00:00:00,226.848,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1960-09-30T00:00:00,228.362,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1960-10-31T00:00:00,229.915,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1960-11-30T00:00:00,233.593,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1960-12-31T00:00:00,252.518,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1961-01-31T00:00:00,253.65,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1961-02-28T00:00:00,260.123,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1961-03-31T00:00:00,262.024,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1961-04-30T00:00:00,264.146,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1961-05-31T00:00:00,269.528,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1961-06-30T00:00:00,273.072,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1961-07-31T00:00:00,276.094,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1961-08-31T00:00:00,280.657,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1961-09-30T00:00:00,283.41,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1961-10-31T00:00:00,285.937,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1961-11-30T00:00:00,288.79,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1961-12-31T00:00:00,292.658,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1962-01-31T00:00:00,294.07,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1962-02-28T00:00:00,298.612,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1962-03-31T00:00:00,298.081,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1962-04-30T00:00:00,300.77,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1962-05-31T00:00:00,304.853,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1962-06-30T00:00:00,306.835,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1962-07-31T00:00:00,309.135,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1962-08-31T00:00:00,312.462,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1962-09-30T00:00:00,312.812,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1962-10-31T00:00:00,315.581,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1962-11-30T00:00:00,320.556,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1962-12-31T00:00:00,326.053,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1963-01-31T00:00:00,324.96,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1963-02-28T00:00:00,329.474,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1963-03-31T00:00:00,329.568,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1963-04-30T00:00:00,331.756,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1963-05-31T00:00:00,336.542,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1963-06-30T00:00:00,340.314,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1963-07-31T00:00:00,342.25,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1963-08-31T00:00:00,348.56,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1963-09-30T00:00:00,350.311,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1963-10-31T00:00:00,353.287,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1963-11-30T00:00:00,358.838,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1963-12-31T00:00:00,366.516,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1964-01-31T00:00:00,364.319,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1964-02-29T00:00:00,368.742,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1964-03-31T00:00:00,370.526,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1964-04-30T00:00:00,371.874,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1964-05-31T00:00:00,377.15,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1964-06-30T00:00:00,381.036,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1964-07-31T00:00:00,381.59,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1964-08-31T00:00:00,387.49,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1964-09-30T00:00:00,389.358,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1964-10-31T00:00:00,392.407,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1964-11-30T00:00:00,400.529,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1964-12-31T00:00:00,408.038,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1965-01-31T00:00:00,409.575,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1965-02-28T00:00:00,414.517,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1965-03-31T00:00:00,416.492,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1965-04-30T00:00:00,417.944,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1965-05-31T00:00:00,426.278,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1965-06-30T00:00:00,430.008,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1965-07-31T00:00:00,432.109,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1965-08-31T00:00:00,436.987,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1965-09-30T00:00:00,439.213,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1965-10-31T00:00:00,442.835,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1965-11-30T00:00:00,450.365,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1965-12-31T00:00:00,456.815,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1966-01-31T00:00:00,457.276,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1966-02-28T00:00:00,460.403,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1966-03-31T00:00:00,461.482,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1966-04-30T00:00:00,464.6,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1966-05-31T00:00:00,469.578,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1966-06-30T00:00:00,472.37,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1966-07-31T00:00:00,473.219,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1966-08-31T00:00:00,479.399,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1966-09-30T00:00:00,482.836,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1966-10-31T00:00:00,486.668,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1966-11-30T00:00:00,492.317,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1966-12-31T00:00:00,498.379,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1967-01-31T00:00:00,497.848,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1967-02-28T00:00:00,505.119,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1967-03-31T00:00:00,506.052,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1967-04-30T00:00:00,510.662,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1967-05-31T00:00:00,516.521,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1967-06-30T00:00:00,519.865,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1967-07-31T00:00:00,524.167,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1967-08-31T00:00:00,531.863,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1967-09-30T00:00:00,535.994,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1967-10-31T00:00:00,541.92,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1967-11-30T00:00:00,551.653,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1967-12-31T00:00:00,562.846,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1968-01-31T00:00:00,563.074,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1968-02-29T00:00:00,569.285,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1968-03-31T00:00:00,570.639,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1968-04-30T00:00:00,576.182,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1968-05-31T00:00:00,585.747,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1968-06-30T00:00:00,591.764,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1968-07-31T00:00:00,597.993,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1968-08-31T00:00:00,605.842,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
Germany,Banks Balance Sheet,1968-09-30T00:00:00,613.048,Monthly,GERMANYBANBALSHE,2017-12-18T12:16:00
