Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Germany,Current Account,1956-01-31T00:00:00,91.52,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1956-02-29T00:00:00,219.34,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1956-03-31T00:00:00,186.62,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1956-04-30T00:00:00,209.63,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1956-05-31T00:00:00,226.5,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1956-06-30T00:00:00,246.95,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1956-07-31T00:00:00,167.19,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1956-08-31T00:00:00,155.94,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1956-09-30T00:00:00,238.26,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1956-10-31T00:00:00,214.23,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1956-11-30T00:00:00,223.43,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1956-12-31T00:00:00,369.66,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1957-01-31T00:00:00,31.19,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1957-02-28T00:00:00,285.81,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1957-03-31T00:00:00,408.01,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1957-04-30T00:00:00,176.91,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1957-05-31T00:00:00,383.47,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1957-06-30T00:00:00,312.91,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1957-07-31T00:00:00,232.13,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1957-08-31T00:00:00,328.76,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1957-09-30T00:00:00,259.22,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1957-10-31T00:00:00,287.86,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1957-11-30T00:00:00,340.01,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1957-12-31T00:00:00,296.55,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1958-01-31T00:00:00,-27.61,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1958-02-28T00:00:00,352.79,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1958-03-31T00:00:00,291.95,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1958-04-30T00:00:00,298.08,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1958-05-31T00:00:00,371.71,Monthly,GRCAEU,2017-01-09T13:37:00
Germany,Current Account,1958-06-30T00:00:00,267.41,Monthly,GRCAEU,2017-01-09T13:37:00
