Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Germany,Employed Persons,1992-01-31T00:00:00,38640,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1992-02-29T00:00:00,38598,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1992-03-31T00:00:00,38555,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1992-04-30T00:00:00,38529,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1992-05-31T00:00:00,38500,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1992-06-30T00:00:00,38450,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1992-07-31T00:00:00,38378,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1992-08-31T00:00:00,38306,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1992-09-30T00:00:00,38235,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1992-10-31T00:00:00,38177,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1992-11-30T00:00:00,38130,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1992-12-31T00:00:00,38090,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1993-01-31T00:00:00,38079,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1993-02-28T00:00:00,38050,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1993-03-31T00:00:00,37995,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1993-04-30T00:00:00,37934,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1993-05-31T00:00:00,37864,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1993-06-30T00:00:00,37837,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1993-07-31T00:00:00,37810,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1993-08-31T00:00:00,37788,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1993-09-30T00:00:00,37778,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1993-10-31T00:00:00,37739,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1993-11-30T00:00:00,37716,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1993-12-31T00:00:00,37742,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1994-01-31T00:00:00,37814,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1994-02-28T00:00:00,37846,Monthly,GERMANYEMPPER,2023-09-18T10:04:00
Germany,Employed Persons,1994-03-31T00:00:00,37820,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1994-04-30T00:00:00,37777,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1994-05-31T00:00:00,37804,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1994-06-30T00:00:00,37824,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1994-07-31T00:00:00,37819,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1994-08-31T00:00:00,37870,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1994-09-30T00:00:00,37904,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1994-10-31T00:00:00,37920,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1994-11-30T00:00:00,37938,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1994-12-31T00:00:00,37959,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1995-01-31T00:00:00,37923,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
Germany,Employed Persons,1995-02-28T00:00:00,37926,Monthly,GERMANYEMPPER,2021-03-30T10:57:00
