Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Germany,Energy Inflation,1992-01-31T00:00:00,6.5,Monthly,DEUENEINF,2023-03-30T14:39:00
Germany,Energy Inflation,1992-02-29T00:00:00,8.1,Monthly,DEUENEINF,2023-03-30T14:39:00
Germany,Energy Inflation,1992-03-31T00:00:00,11.8,Monthly,DEUENEINF,2023-03-30T14:39:00
Germany,Energy Inflation,1992-04-30T00:00:00,11.3,Monthly,DEUENEINF,2023-03-30T14:39:00
Germany,Energy Inflation,1992-05-31T00:00:00,10.4,Monthly,DEUENEINF,2023-03-30T14:39:00
Germany,Energy Inflation,1992-06-30T00:00:00,10.6,Monthly,DEUENEINF,2023-03-30T14:39:00
Germany,Energy Inflation,1992-07-31T00:00:00,1.9,Monthly,DEUENEINF,2023-03-30T14:39:00
Germany,Energy Inflation,1992-08-31T00:00:00,2.3,Monthly,DEUENEINF,2023-03-30T14:39:00
Germany,Energy Inflation,1992-09-30T00:00:00,0.8,Monthly,DEUENEINF,2023-03-30T14:39:00
Germany,Energy Inflation,1992-10-31T00:00:00,-2.2,Monthly,DEUENEINF,2023-03-30T14:39:00
Germany,Energy Inflation,1992-11-30T00:00:00,-2,Monthly,DEUENEINF,2023-03-30T14:39:00
Germany,Energy Inflation,1992-12-31T00:00:00,-0.4,Monthly,DEUENEINF,2023-03-30T14:39:00
Germany,Energy Inflation,1993-01-31T00:00:00,1.8,Monthly,DEUENEINF,2023-03-30T14:39:00
Germany,Energy Inflation,1993-02-28T00:00:00,1,Monthly,DEUENEINF,2023-03-30T14:39:00
Germany,Energy Inflation,1993-03-31T00:00:00,1.8,Monthly,DEUENEINF,2023-03-30T14:39:00
Germany,Energy Inflation,1993-04-30T00:00:00,1.8,Monthly,DEUENEINF,2023-03-30T14:39:00
Germany,Energy Inflation,1993-05-31T00:00:00,0.8,Monthly,DEUENEINF,2023-03-30T14:39:00
Germany,Energy Inflation,1993-06-30T00:00:00,0.2,Monthly,DEUENEINF,2023-03-30T14:39:00
Germany,Energy Inflation,1993-07-31T00:00:00,1.4,Monthly,DEUENEINF,2023-03-30T14:39:00
Germany,Energy Inflation,1993-08-31T00:00:00,1.2,Monthly,DEUENEINF,2023-03-30T14:39:00
