Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Germany,Foreign Direct Investment,1971-01-31T00:00:00,27.226,Monthly,GERMANYFORDIRINV,2018-11-15T16:10:00
Germany,Foreign Direct Investment,1971-02-28T00:00:00,136.341,Monthly,GERMANYFORDIRINV,2018-11-15T16:10:00
Germany,Foreign Direct Investment,1971-03-31T00:00:00,146.06,Monthly,GERMANYFORDIRINV,2018-11-15T16:10:00
Germany,Foreign Direct Investment,1971-04-30T00:00:00,250.552,Monthly,GERMANYFORDIRINV,2018-11-15T16:10:00
Germany,Foreign Direct Investment,1971-05-31T00:00:00,-64.537,Monthly,GERMANYFORDIRINV,2018-11-15T16:10:00
Germany,Foreign Direct Investment,1971-06-30T00:00:00,151.349,Monthly,GERMANYFORDIRINV,2018-11-15T16:10:00
Germany,Foreign Direct Investment,1971-07-31T00:00:00,357.909,Monthly,GERMANYFORDIRINV,2018-11-15T16:10:00
Germany,Foreign Direct Investment,1971-08-31T00:00:00,100.946,Monthly,GERMANYFORDIRINV,2018-11-15T16:10:00
Germany,Foreign Direct Investment,1971-09-30T00:00:00,207.715,Monthly,GERMANYFORDIRINV,2018-11-15T16:10:00
Germany,Foreign Direct Investment,1971-10-31T00:00:00,111.852,Monthly,GERMANYFORDIRINV,2018-11-15T16:10:00
Germany,Foreign Direct Investment,1971-11-30T00:00:00,80.709,Monthly,GERMANYFORDIRINV,2018-11-15T16:10:00
Germany,Foreign Direct Investment,1971-12-31T00:00:00,450.569,Monthly,GERMANYFORDIRINV,2018-11-15T16:10:00
Germany,Foreign Direct Investment,1972-01-31T00:00:00,164.291,Monthly,GERMANYFORDIRINV,2018-11-15T16:10:00
Germany,Foreign Direct Investment,1972-02-29T00:00:00,314.035,Monthly,GERMANYFORDIRINV,2018-11-15T16:10:00
Germany,Foreign Direct Investment,1972-03-31T00:00:00,739.264,Monthly,GERMANYFORDIRINV,2018-11-15T16:10:00
Germany,Foreign Direct Investment,1972-04-30T00:00:00,133.272,Monthly,GERMANYFORDIRINV,2018-11-15T16:10:00
Germany,Foreign Direct Investment,1972-05-31T00:00:00,142.33,Monthly,GERMANYFORDIRINV,2018-11-15T16:10:00
Germany,Foreign Direct Investment,1972-06-30T00:00:00,248.948,Monthly,GERMANYFORDIRINV,2018-11-15T16:10:00
Germany,Foreign Direct Investment,1972-07-31T00:00:00,219.716,Monthly,GERMANYFORDIRINV,2018-11-15T16:10:00
Germany,Foreign Direct Investment,1972-08-31T00:00:00,189.329,Monthly,GERMANYFORDIRINV,2018-11-15T16:10:00
