Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Belgium,Import Prices,1995-01-31T00:00:00,65.75,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1995-02-28T00:00:00,66.22,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1995-03-31T00:00:00,65.87,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1995-04-30T00:00:00,65.33,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1995-05-31T00:00:00,65.37,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1995-06-30T00:00:00,66.23,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1995-07-31T00:00:00,65.28,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1995-08-31T00:00:00,65.74,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1995-09-30T00:00:00,66.57,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1995-10-31T00:00:00,65.9,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1995-11-30T00:00:00,65.58,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1995-12-31T00:00:00,67.03,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1996-01-31T00:00:00,67.81,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1996-02-29T00:00:00,68.44,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1996-03-31T00:00:00,68.13,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1996-04-30T00:00:00,67.75,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1996-05-31T00:00:00,67.13,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1996-06-30T00:00:00,67.47,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1996-07-31T00:00:00,67.22,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1996-08-31T00:00:00,66.84,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1996-09-30T00:00:00,69.02,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1996-10-31T00:00:00,68.71,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1996-11-30T00:00:00,68.39,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1996-12-31T00:00:00,69.44,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1997-01-31T00:00:00,69.84,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1997-02-28T00:00:00,71.46,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1997-03-31T00:00:00,71.89,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1997-04-30T00:00:00,71.66,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1997-05-31T00:00:00,71.42,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1997-06-30T00:00:00,71.15,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1997-07-31T00:00:00,72.34,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1997-08-31T00:00:00,73.69,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1997-09-30T00:00:00,73.33,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1997-10-31T00:00:00,72.67,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1997-11-30T00:00:00,72.28,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1997-12-31T00:00:00,72.27,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1998-01-31T00:00:00,72.2,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1998-02-28T00:00:00,72.37,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1998-03-31T00:00:00,71.95,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1998-04-30T00:00:00,71.48,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1998-05-31T00:00:00,70.53,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1998-06-30T00:00:00,71.39,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1998-07-31T00:00:00,70.17,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1998-08-31T00:00:00,69.93,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1998-09-30T00:00:00,69.84,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1998-10-31T00:00:00,69,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1998-11-30T00:00:00,68.41,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1998-12-31T00:00:00,68.44,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1999-01-31T00:00:00,68.17,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1999-02-28T00:00:00,68.37,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1999-03-31T00:00:00,69.7,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1999-04-30T00:00:00,69.84,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1999-05-31T00:00:00,69.8,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1999-06-30T00:00:00,70.33,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1999-07-31T00:00:00,71.95,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1999-08-31T00:00:00,71.23,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1999-09-30T00:00:00,72.38,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1999-10-31T00:00:00,72.65,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1999-11-30T00:00:00,73.61,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
Belgium,Import Prices,1999-12-31T00:00:00,75.5,Monthly,BELGIUMIMPPRI,2019-01-22T18:32:00
