Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Latvia,Import Prices,1998-02-28T00:00:00,57.4,Monthly,LATVIAIMPPRI,2014-02-11T16:06:00
Latvia,Import Prices,1998-05-31T00:00:00,56.6,Monthly,LATVIAIMPPRI,2014-02-11T16:06:00
Latvia,Import Prices,1998-08-31T00:00:00,55.9,Monthly,LATVIAIMPPRI,2014-02-11T16:06:00
Latvia,Import Prices,1998-11-30T00:00:00,54.1,Monthly,LATVIAIMPPRI,2014-02-11T16:06:00
Latvia,Import Prices,1999-02-28T00:00:00,53.3,Monthly,LATVIAIMPPRI,2014-02-11T16:06:00
Latvia,Import Prices,1999-05-31T00:00:00,52.4,Monthly,LATVIAIMPPRI,2014-02-11T16:06:00
Latvia,Import Prices,1999-08-31T00:00:00,53.3,Monthly,LATVIAIMPPRI,2014-02-11T16:06:00
Latvia,Import Prices,1999-11-30T00:00:00,53.2,Monthly,LATVIAIMPPRI,2014-02-11T16:06:00
Latvia,Import Prices,2000-02-29T00:00:00,56.5,Monthly,LATVIAIMPPRI,2014-02-11T16:06:00
Latvia,Import Prices,2000-05-31T00:00:00,55.7,Monthly,LATVIAIMPPRI,2014-02-11T16:06:00
Latvia,Import Prices,2000-08-31T00:00:00,56.8,Monthly,LATVIAIMPPRI,2014-02-11T16:06:00
Latvia,Import Prices,2000-11-30T00:00:00,57.5,Monthly,LATVIAIMPPRI,2014-02-11T16:06:00
Latvia,Import Prices,2001-02-28T00:00:00,58.4,Monthly,LATVIAIMPPRI,2014-02-11T16:06:00
Latvia,Import Prices,2001-05-31T00:00:00,58.3,Monthly,LATVIAIMPPRI,2014-02-11T16:06:00
Latvia,Import Prices,2001-08-31T00:00:00,56.8,Monthly,LATVIAIMPPRI,2014-02-11T16:06:00
Latvia,Import Prices,2001-11-30T00:00:00,56.7,Monthly,LATVIAIMPPRI,2014-02-11T16:06:00
Latvia,Import Prices,2002-02-28T00:00:00,60.3,Monthly,LATVIAIMPPRI,2014-02-11T16:06:00
Latvia,Import Prices,2002-05-31T00:00:00,61,Monthly,LATVIAIMPPRI,2014-02-11T16:06:00
Latvia,Import Prices,2002-08-31T00:00:00,61,Monthly,LATVIAIMPPRI,2014-02-11T16:06:00
Latvia,Import Prices,2002-11-30T00:00:00,61.3,Monthly,LATVIAIMPPRI,2014-02-11T16:06:00
Latvia,Import Prices,2003-02-28T00:00:00,64.7,Monthly,LATVIAIMPPRI,2014-02-11T16:06:00
Latvia,Import Prices,2003-05-31T00:00:00,65,Monthly,LATVIAIMPPRI,2014-02-11T16:06:00
