Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Lithuania,Import Prices,2006-01-31T00:00:00,79.1,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2006-02-28T00:00:00,78.4,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2006-03-31T00:00:00,78.7,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2006-04-30T00:00:00,81.8,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2006-05-31T00:00:00,81,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2006-06-30T00:00:00,79.8,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2006-07-31T00:00:00,82.1,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2006-08-31T00:00:00,81.7,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2006-09-30T00:00:00,78.8,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2006-10-31T00:00:00,81.3,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2006-11-30T00:00:00,77.8,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2006-12-31T00:00:00,78.8,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2007-01-31T00:00:00,79.3,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2007-02-28T00:00:00,80.3,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2007-03-31T00:00:00,80.7,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2007-04-30T00:00:00,81.6,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2007-05-31T00:00:00,82.7,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2007-06-30T00:00:00,84.1,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2007-07-31T00:00:00,85.2,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2007-08-31T00:00:00,84,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2007-09-30T00:00:00,85.3,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2007-10-31T00:00:00,85.7,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2007-11-30T00:00:00,88.6,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2007-12-31T00:00:00,88.6,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2008-01-31T00:00:00,89,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2008-02-28T00:00:00,89.7,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
Lithuania,Import Prices,2008-03-31T00:00:00,90.2,Monthly,LITHUANIAIMPPRI,2024-09-06T02:56:00
