Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Norway,Import Prices,1989-03-31T00:00:00,101.5,Quarterly,NORWAYIMPPRI,2024-08-12T09:23:00
Norway,Import Prices,1989-06-30T00:00:00,104.7,Quarterly,NORWAYIMPPRI,2024-08-12T09:23:00
Norway,Import Prices,1989-09-30T00:00:00,105.1,Quarterly,NORWAYIMPPRI,2024-08-12T09:23:00
Norway,Import Prices,1989-12-31T00:00:00,105.7,Quarterly,NORWAYIMPPRI,2024-08-12T09:23:00
Norway,Import Prices,1990-03-31T00:00:00,105,Quarterly,NORWAYIMPPRI,2024-08-12T09:23:00
Norway,Import Prices,1990-06-30T00:00:00,104,Quarterly,NORWAYIMPPRI,2024-08-12T09:23:00
Norway,Import Prices,1990-09-30T00:00:00,105,Quarterly,NORWAYIMPPRI,2024-08-12T09:23:00
Norway,Import Prices,1990-12-31T00:00:00,106.9,Quarterly,NORWAYIMPPRI,2024-08-12T09:23:00
Norway,Import Prices,1991-03-31T00:00:00,101.2,Quarterly,NORWAYIMPPRI,2024-08-12T09:23:00
Norway,Import Prices,1991-06-30T00:00:00,104.4,Quarterly,NORWAYIMPPRI,2024-08-12T09:23:00
Norway,Import Prices,1991-09-30T00:00:00,104,Quarterly,NORWAYIMPPRI,2024-08-12T09:23:00
Norway,Import Prices,1991-12-31T00:00:00,103.8,Quarterly,NORWAYIMPPRI,2024-08-12T09:23:00
Norway,Import Prices,1992-03-31T00:00:00,101.6,Quarterly,NORWAYIMPPRI,2024-08-12T09:23:00
Norway,Import Prices,1992-06-30T00:00:00,101.8,Quarterly,NORWAYIMPPRI,2024-08-12T09:23:00
Norway,Import Prices,1992-09-30T00:00:00,99.3,Quarterly,NORWAYIMPPRI,2024-08-12T09:23:00
Norway,Import Prices,1992-12-31T00:00:00,101.8,Quarterly,NORWAYIMPPRI,2024-08-12T09:23:00
Norway,Import Prices,1993-03-31T00:00:00,101.9,Quarterly,NORWAYIMPPRI,2024-08-12T09:23:00
Norway,Import Prices,1993-06-30T00:00:00,101.8,Quarterly,NORWAYIMPPRI,2024-08-12T09:23:00
Norway,Import Prices,1993-09-30T00:00:00,103.3,Quarterly,NORWAYIMPPRI,2024-08-12T09:23:00
Norway,Import Prices,1993-12-31T00:00:00,104.1,Quarterly,NORWAYIMPPRI,2024-08-12T09:23:00
Norway,Import Prices,1994-03-31T00:00:00,103.6,Quarterly,NORWAYIMPPRI,2024-08-12T09:23:00
Norway,Import Prices,1994-06-30T00:00:00,103.1,Quarterly,NORWAYIMPPRI,2024-08-12T09:23:00
Norway,Import Prices,1994-09-30T00:00:00,103.4,Quarterly,NORWAYIMPPRI,2024-08-12T09:23:00
Norway,Import Prices,1994-12-31T00:00:00,104.7,Quarterly,NORWAYIMPPRI,2024-08-12T09:23:00
Norway,Import Prices,1995-03-31T00:00:00,104.5,Quarterly,NORWAYIMPPRI,2024-08-12T09:23:00
