Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
South Korea,Import Prices,1971-01-31T00:00:00,6,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1971-02-28T00:00:00,6.05,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1971-03-31T00:00:00,6.13,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1971-04-30T00:00:00,6.17,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1971-05-31T00:00:00,6.24,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1971-06-30T00:00:00,6.31,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1971-07-31T00:00:00,6.84,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1971-08-31T00:00:00,7.17,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1971-09-30T00:00:00,7.18,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1971-10-31T00:00:00,7.33,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1971-11-30T00:00:00,7.33,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1971-12-31T00:00:00,7.32,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1972-01-31T00:00:00,7.59,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1972-02-29T00:00:00,7.65,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1972-03-31T00:00:00,7.75,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1972-04-30T00:00:00,7.89,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1972-05-31T00:00:00,8,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1972-06-30T00:00:00,8.12,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1972-07-31T00:00:00,8.21,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1972-08-31T00:00:00,8.21,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1972-09-30T00:00:00,8.34,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1972-10-31T00:00:00,8.39,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1972-11-30T00:00:00,8.32,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1972-12-31T00:00:00,8.34,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1973-01-31T00:00:00,8.76,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1973-02-28T00:00:00,8.98,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1973-03-31T00:00:00,9.33,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1973-04-30T00:00:00,9.59,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1973-05-31T00:00:00,9.75,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1973-06-30T00:00:00,10.04,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1973-07-31T00:00:00,10.37,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1973-08-31T00:00:00,10.62,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1973-09-30T00:00:00,10.95,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1973-10-31T00:00:00,11.26,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
South Korea,Import Prices,1973-11-30T00:00:00,11.53,Monthly,SOUTHKOREIMPPRI,2024-05-24T01:19:00
