Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Switzerland,Import Prices,1963-01-31T00:00:00,76.02,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1963-02-28T00:00:00,76.25,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1963-03-31T00:00:00,76.86,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1963-04-30T00:00:00,76.79,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1963-05-31T00:00:00,77.71,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1963-06-30T00:00:00,77.32,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1963-07-31T00:00:00,76.56,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1963-08-31T00:00:00,76.1,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1963-09-30T00:00:00,76.63,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1963-10-31T00:00:00,77.25,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1963-11-30T00:00:00,76.94,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1963-12-31T00:00:00,77.09,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1964-01-31T00:00:00,77.09,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1964-02-29T00:00:00,77.4,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1964-03-31T00:00:00,77.25,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1964-04-30T00:00:00,78.09,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1964-05-31T00:00:00,77.86,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1964-06-30T00:00:00,77.63,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1964-07-31T00:00:00,77.09,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1964-08-31T00:00:00,77.63,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1964-09-30T00:00:00,77.63,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1964-10-31T00:00:00,77.94,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1964-11-30T00:00:00,77.86,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1964-12-31T00:00:00,77.48,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1965-01-31T00:00:00,76.86,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1965-02-28T00:00:00,77.25,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1965-03-31T00:00:00,77.17,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1965-04-30T00:00:00,77.17,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1965-05-31T00:00:00,77.63,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1965-06-30T00:00:00,77.78,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1965-07-31T00:00:00,77.02,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1965-08-31T00:00:00,76.71,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1965-09-30T00:00:00,76.79,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1965-10-31T00:00:00,76.86,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1965-11-30T00:00:00,77.78,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1965-12-31T00:00:00,78.09,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1966-01-31T00:00:00,78.47,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1966-02-28T00:00:00,79.01,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1966-03-31T00:00:00,78.93,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1966-04-30T00:00:00,78.93,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1966-05-31T00:00:00,79.16,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1966-06-30T00:00:00,78.93,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1966-07-31T00:00:00,78.63,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1966-08-31T00:00:00,77.32,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1966-09-30T00:00:00,77.09,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1966-10-31T00:00:00,77.4,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1966-11-30T00:00:00,77.32,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1966-12-31T00:00:00,77.63,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1967-01-31T00:00:00,77.78,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1967-02-28T00:00:00,78.17,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1967-03-31T00:00:00,77.94,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1967-04-30T00:00:00,77.78,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1967-05-31T00:00:00,78.17,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1967-06-30T00:00:00,78.47,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1967-07-31T00:00:00,78.7,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1967-08-31T00:00:00,78.7,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1967-09-30T00:00:00,78.63,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1967-10-31T00:00:00,78.17,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1967-11-30T00:00:00,78.47,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1967-12-31T00:00:00,78.47,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1968-01-31T00:00:00,78.78,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1968-02-29T00:00:00,79.32,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1968-03-31T00:00:00,79.24,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1968-04-30T00:00:00,78.47,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1968-05-31T00:00:00,78.24,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1968-06-30T00:00:00,78.4,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1968-07-31T00:00:00,78.17,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1968-08-31T00:00:00,78.4,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1968-09-30T00:00:00,78.78,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1968-10-31T00:00:00,79.09,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1968-11-30T00:00:00,79.62,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1968-12-31T00:00:00,79.93,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1969-01-31T00:00:00,80.69,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1969-02-28T00:00:00,81.38,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1969-03-31T00:00:00,80.92,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1969-04-30T00:00:00,81.84,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1969-05-31T00:00:00,82.69,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1969-06-30T00:00:00,83.15,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1969-07-31T00:00:00,83.91,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1969-08-31T00:00:00,84.07,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1969-09-30T00:00:00,84.37,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1969-10-31T00:00:00,85.22,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1969-11-30T00:00:00,86.6,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1969-12-31T00:00:00,87.36,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1970-01-31T00:00:00,87.82,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1970-02-28T00:00:00,88.13,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1970-03-31T00:00:00,88.51,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1970-04-30T00:00:00,89.12,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1970-05-31T00:00:00,89.43,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1970-06-30T00:00:00,88.74,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1970-07-31T00:00:00,88.66,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1970-08-31T00:00:00,88.43,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1970-09-30T00:00:00,88.36,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1970-10-31T00:00:00,86.6,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1970-11-30T00:00:00,86.52,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1970-12-31T00:00:00,86.52,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1971-01-31T00:00:00,86.67,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1971-02-28T00:00:00,86.9,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1971-03-31T00:00:00,87.82,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1971-04-30T00:00:00,88.13,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1971-05-31T00:00:00,87.13,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1971-06-30T00:00:00,86.9,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1971-07-31T00:00:00,86.37,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1971-08-31T00:00:00,85.98,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1971-09-30T00:00:00,85.37,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1971-10-31T00:00:00,85.37,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1971-11-30T00:00:00,84.6,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1971-12-31T00:00:00,85.45,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1972-01-31T00:00:00,86.06,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1972-02-29T00:00:00,86.14,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1972-03-31T00:00:00,87.21,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1972-04-30T00:00:00,87.51,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1972-05-31T00:00:00,87.74,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1972-06-30T00:00:00,87.82,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1972-07-31T00:00:00,87.9,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1972-08-31T00:00:00,88.74,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1972-09-30T00:00:00,89.81,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1972-10-31T00:00:00,90.96,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1972-11-30T00:00:00,91.12,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1972-12-31T00:00:00,92.65,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1973-01-31T00:00:00,94.49,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1973-02-28T00:00:00,95.64,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1973-03-31T00:00:00,97.71,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1973-04-30T00:00:00,98.17,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1973-05-31T00:00:00,99.62,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1973-06-30T00:00:00,101.08,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1973-07-31T00:00:00,102.53,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1973-08-31T00:00:00,103.53,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1973-09-30T00:00:00,105.22,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1973-10-31T00:00:00,108.51,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1973-11-30T00:00:00,111.58,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1973-12-31T00:00:00,115.03,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1974-01-31T00:00:00,119.24,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1974-02-28T00:00:00,118.78,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1974-03-31T00:00:00,125.52,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1974-04-30T00:00:00,126.44,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1974-05-31T00:00:00,125.6,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1974-06-30T00:00:00,124.99,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1974-07-31T00:00:00,125.22,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1974-08-31T00:00:00,125.37,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1974-09-30T00:00:00,127.44,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1974-10-31T00:00:00,127.36,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1974-11-30T00:00:00,126.52,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1974-12-31T00:00:00,122.23,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1975-01-31T00:00:00,119.47,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1975-02-28T00:00:00,116.87,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1975-03-31T00:00:00,112.5,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1975-04-30T00:00:00,112.5,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1975-05-31T00:00:00,111.96,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1975-06-30T00:00:00,110.89,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1975-07-31T00:00:00,111.5,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1975-08-31T00:00:00,112.8,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1975-09-30T00:00:00,111.12,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1975-10-31T00:00:00,109.74,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1975-11-30T00:00:00,109.05,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1975-12-31T00:00:00,108.82,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1976-01-31T00:00:00,108.97,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1976-02-29T00:00:00,109.97,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1976-03-31T00:00:00,111.35,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1976-04-30T00:00:00,112.8,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1976-05-31T00:00:00,113.19,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1976-06-30T00:00:00,113.8,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1976-07-31T00:00:00,114.26,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1976-08-31T00:00:00,114.34,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1976-09-30T00:00:00,113.88,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1976-10-31T00:00:00,113.49,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1976-11-30T00:00:00,113.34,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1976-12-31T00:00:00,113.26,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1977-01-31T00:00:00,114.57,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1977-02-28T00:00:00,115.26,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1977-03-31T00:00:00,117.25,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1977-04-30T00:00:00,117.17,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1977-05-31T00:00:00,117.71,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1977-06-30T00:00:00,116.56,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1977-07-31T00:00:00,114.8,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1977-08-31T00:00:00,112.88,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1977-09-30T00:00:00,112.73,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1977-10-31T00:00:00,110.66,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1977-11-30T00:00:00,109.81,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1977-12-31T00:00:00,108.21,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1978-01-31T00:00:00,107.29,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1978-02-28T00:00:00,106.37,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1978-03-31T00:00:00,106.14,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1978-04-30T00:00:00,106.29,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1978-05-31T00:00:00,106.29,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1978-06-30T00:00:00,105.6,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1978-07-31T00:00:00,104.6,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1978-08-31T00:00:00,102.99,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1978-09-30T00:00:00,101,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1978-10-31T00:00:00,100.47,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1978-11-30T00:00:00,103.3,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1978-12-31T00:00:00,102.99,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
Switzerland,Import Prices,1979-01-31T00:00:00,104.53,Monthly,SWITZERLANIMPPRI,2024-06-13T07:38:00
