Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Latvia,Unemployment Rate,2002-03-31T00:00:00,13.2,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2002-06-30T00:00:00,13.8,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2002-09-30T00:00:00,10.9,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2002-12-31T00:00:00,12,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2003-03-31T00:00:00,11.8,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2003-06-30T00:00:00,12.1,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2003-09-30T00:00:00,11.8,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2003-12-31T00:00:00,10.9,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2004-03-31T00:00:00,12.3,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2004-06-30T00:00:00,11.7,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2004-09-30T00:00:00,11.2,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2004-12-31T00:00:00,11.8,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2005-03-31T00:00:00,11.6,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2005-06-30T00:00:00,10.4,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2005-09-30T00:00:00,9.5,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2005-12-31T00:00:00,8.7,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2006-03-31T00:00:00,8.6,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2006-06-30T00:00:00,7.2,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2006-09-30T00:00:00,6,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2006-12-31T00:00:00,6.4,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2007-03-31T00:00:00,7.1,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2007-06-30T00:00:00,6.3,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2007-09-30T00:00:00,5.6,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2007-12-31T00:00:00,5.3,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2008-03-31T00:00:00,6.7,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2008-06-30T00:00:00,6.6,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2008-09-30T00:00:00,7.4,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2008-12-31T00:00:00,10.2,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2009-03-31T00:00:00,14.2,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2009-06-30T00:00:00,17.2,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2009-09-30T00:00:00,18.8,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2009-12-31T00:00:00,19.9,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2010-03-31T00:00:00,21.3,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2010-06-30T00:00:00,20.4,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2010-09-30T00:00:00,18.5,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2010-12-31T00:00:00,17.8,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2011-03-31T00:00:00,17.6,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2011-06-30T00:00:00,17.1,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2011-09-30T00:00:00,15.1,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2011-12-31T00:00:00,15,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2012-03-31T00:00:00,16.3,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2012-06-30T00:00:00,16.3,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2012-09-30T00:00:00,13.7,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2012-12-31T00:00:00,13.9,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2013-03-31T00:00:00,13,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2013-06-30T00:00:00,11.4,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2013-09-30T00:00:00,11.8,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2013-12-31T00:00:00,11.3,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2014-03-31T00:00:00,11.9,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2014-06-30T00:00:00,10.7,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2014-09-30T00:00:00,10.6,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2014-12-31T00:00:00,10.2,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2015-03-31T00:00:00,10.2,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2015-06-30T00:00:00,9.8,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2015-09-30T00:00:00,9.7,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2015-12-31T00:00:00,9.8,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2016-03-31T00:00:00,10.3,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2016-06-30T00:00:00,9.5,Quarterly,LatviaUR,2016-08-17T11:19:00
Latvia,Unemployment Rate,2016-09-30T00:00:00,9.5,Quarterly,LatviaUR,2016-11-16T11:04:00
Latvia,Unemployment Rate,2016-12-31T00:00:00,9.3,Quarterly,LatviaUR,2017-02-23T10:55:00
Latvia,Unemployment Rate,2017-03-31T00:00:00,9.4,Quarterly,LatviaUR,2017-05-22T10:25:00
Latvia,Unemployment Rate,2017-06-30T00:00:00,8.9,Quarterly,LatviaUR,2017-08-17T10:01:00
Latvia,Unemployment Rate,2017-09-30T00:00:00,8.5,Quarterly,LatviaUR,2017-11-16T11:00:00
Latvia,Unemployment Rate,2017-12-31T00:00:00,8.1,Quarterly,LatviaUR,2018-02-23T10:01:00
