Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Switzerland,Unemployment Rate,1995-01-31T00:00:00,4.6,Monthly,SZUEUEA,2018-04-09T12:37:00
Switzerland,Unemployment Rate,1995-02-28T00:00:00,4.6,Monthly,SZUEUEA,2018-04-09T12:37:00
Switzerland,Unemployment Rate,1995-03-31T00:00:00,4.4,Monthly,SZUEUEA,2018-04-09T12:37:00
Switzerland,Unemployment Rate,1995-04-30T00:00:00,4.3,Monthly,SZUEUEA,2018-04-09T12:37:00
Switzerland,Unemployment Rate,1995-05-31T00:00:00,4.2,Monthly,SZUEUEA,2011-06-27T00:00:00
Switzerland,Unemployment Rate,1995-06-30T00:00:00,4,Monthly,SZUEUEA,2018-04-09T12:37:00
Switzerland,Unemployment Rate,1995-07-31T00:00:00,4,Monthly,SZUEUEA,2018-04-09T12:37:00
Switzerland,Unemployment Rate,1995-08-31T00:00:00,4,Monthly,SZUEUEA,2018-04-09T12:37:00
Switzerland,Unemployment Rate,1995-09-30T00:00:00,4,Monthly,SZUEUEA,2018-04-09T12:37:00
Switzerland,Unemployment Rate,1995-10-31T00:00:00,4,Monthly,SZUEUEA,2018-04-09T12:37:00
Switzerland,Unemployment Rate,1995-11-30T00:00:00,4.2,Monthly,SZUEUEA,2011-06-27T00:00:00
Switzerland,Unemployment Rate,1995-12-31T00:00:00,4.3,Monthly,SZUEUEA,2018-04-09T12:37:00
Switzerland,Unemployment Rate,1996-01-31T00:00:00,4.6,Monthly,SZUEUEA,2018-04-09T12:37:00
Switzerland,Unemployment Rate,1996-02-29T00:00:00,4.6,Monthly,SZUEUEA,2018-04-09T12:37:00
Switzerland,Unemployment Rate,1996-03-31T00:00:00,4.6,Monthly,SZUEUEA,2018-04-09T12:37:00
Switzerland,Unemployment Rate,1996-04-30T00:00:00,4.5,Monthly,SZUEUEA,2011-06-27T00:00:00
Switzerland,Unemployment Rate,1996-05-31T00:00:00,4.5,Monthly,SZUEUEA,2011-06-27T00:00:00
Switzerland,Unemployment Rate,1996-06-30T00:00:00,4.4,Monthly,SZUEUEA,2018-04-09T12:37:00
Switzerland,Unemployment Rate,1996-07-31T00:00:00,4.5,Monthly,SZUEUEA,2018-04-09T12:37:00
Switzerland,Unemployment Rate,1996-08-31T00:00:00,4.5,Monthly,SZUEUEA,2018-04-09T12:37:00
Switzerland,Unemployment Rate,1996-09-30T00:00:00,4.6,Monthly,SZUEUEA,2018-04-09T12:37:00
Switzerland,Unemployment Rate,1996-10-31T00:00:00,4.8,Monthly,SZUEUEA,2018-04-09T12:37:00
Switzerland,Unemployment Rate,1996-11-30T00:00:00,5.1,Monthly,SZUEUEA,2011-06-27T00:00:00
Switzerland,Unemployment Rate,1996-12-31T00:00:00,5.3,Monthly,SZUEUEA,2018-04-09T12:37:00
Switzerland,Unemployment Rate,1997-01-31T00:00:00,5.7,Monthly,SZUEUEA,2018-04-09T12:37:00
Switzerland,Unemployment Rate,1997-02-28T00:00:00,5.7,Monthly,SZUEUEA,2018-04-09T12:37:00
Switzerland,Unemployment Rate,1997-03-31T00:00:00,5.6,Monthly,SZUEUEA,2018-04-09T12:37:00
