x1_lag,x2_lag,aic,bic,converged,n_obs,error,Country
0,0,-2610.8253194450017,-2592.723315116416,True,276,,Belgium
1,1,-2606.4597900286653,-2588.3759345403323,True,275,,Belgium
0,1,-2606.451990488653,-2588.36813500032,True,275,,Belgium
1,0,-2602.835520858731,-2584.751665370398,True,275,,Belgium
2,2,-2600.760430278698,-2582.6947897467576,True,274,,Belgium
2,1,-2599.563408271956,-2581.4977677400157,True,274,,Belgium
1,2,-2599.1200570675037,-2581.054416535563,True,274,,Belgium
0,2,-2599.0309221905636,-2580.965281658623,True,274,,Belgium
2,0,-2595.264524326347,-2577.1988837944064,True,274,,Belgium
3,2,-2591.3370393471782,-2573.2896803712533,True,273,,Belgium
3,1,-2589.7761037260984,-2571.7287447501735,True,273,,Belgium
2,3,-2587.0834881401097,-2569.036129164185,True,273,,Belgium
3,3,-2586.4728218169407,-2568.425462841016,True,273,,Belgium
1,3,-2585.1395468912656,-2567.0921879153407,True,273,,Belgium
0,3,-2585.0994325211022,-2567.0520735451773,True,273,,Belgium
3,0,-2584.914925852886,-2566.867566876961,True,273,,Belgium
4,2,-2581.9272727805214,-2563.8982624490413,True,272,,Belgium
4,1,-2580.0447814701283,-2562.0157711386482,True,272,,Belgium
4,3,-2577.164498687718,-2559.135488356238,True,272,,Belgium
2,4,-2576.9311693816167,-2558.9021590501366,True,272,,Belgium
4,4,-2576.5901344421072,-2558.561124110627,True,272,,Belgium
4,0,-2575.9802810677284,-2557.9512707362483,True,272,,Belgium
3,4,-2575.5375349568694,-2557.5085246253893,True,272,,Belgium
1,4,-2574.9285743703344,-2556.8995640388544,True,272,,Belgium
0,4,-2574.8681411441503,-2556.83913081267,True,272,,Belgium
5,2,-2571.9729053410088,-2553.9623112366103,True,271,,Belgium
5,1,-2570.9650500514153,-2552.954455947017,True,271,,Belgium
5,5,-2567.867590232341,-2549.8569961279427,True,271,,Belgium
2,5,-2567.146281436624,-2549.1356873322256,True,271,,Belgium
5,3,-2566.9086379898145,-2548.898043885416,True,271,,Belgium
4,5,-2566.7273525605997,-2548.716758456201,True,271,,Belgium
3,5,-2566.554420843052,-2548.5438267386535,True,271,,Belgium
5,4,-2566.2019315411358,-2548.1913374367373,True,271,,Belgium
5,0,-2565.6344310321447,-2547.623836927746,True,271,,Belgium
1,5,-2565.5886039250017,-2547.5780098206033,True,271,,Belgium
0,5,-2564.2650216889297,-2546.254427584531,True,271,,Belgium
6,2,-2563.8657065437546,-2545.873596748763,True,270,,Belgium
6,1,-2561.886782769833,-2543.8946729748413,True,270,,Belgium
6,5,-2558.618838656193,-2540.626728861201,True,270,,Belgium
6,3,-2557.936384047912,-2539.94427425292,True,270,,Belgium
6,6,-2557.8198086722896,-2539.8276988772977,True,270,,Belgium
6,4,-2557.7566495576507,-2539.764539762659,True,270,,Belgium
6,0,-2557.412058454908,-2539.4199486599164,True,270,,Belgium
5,6,-2556.3291457128407,-2538.337035917849,True,270,,Belgium
4,6,-2556.1517102298412,-2538.1596004348494,True,270,,Belgium
2,6,-2555.841671134095,-2537.8495613391033,True,270,,Belgium
3,6,-2555.1531890254782,-2537.1610792304864,True,270,,Belgium
1,6,-2553.8112517664067,-2535.819141971415,True,270,,Belgium
0,6,-2553.7469164788154,-2535.7548066838235,True,270,,Belgium
