x1_lag,x2_lag,aic,bic,converged,n_obs,error,Country
0,0,-2489.6649675832296,-2471.562963254644,True,276,,Germany
0,1,-2482.932953754086,-2464.849098265753,True,275,,Germany
1,1,-2482.6920393692635,-2464.6081838809305,True,275,,Germany
1,0,-2482.5460385556985,-2464.4621830673655,True,275,,Germany
2,1,-2473.106298201725,-2455.0406576697847,True,274,,Germany
2,0,-2472.9233731899158,-2454.8577326579752,True,274,,Germany
0,2,-2469.9537699619605,-2451.88812943002,True,274,,Germany
2,2,-2469.890125555282,-2451.8244850233414,True,274,,Germany
1,2,-2469.7604550387487,-2451.694814506808,True,274,,Germany
0,3,-2466.229792121486,-2448.182433145561,True,273,,Germany
2,3,-2466.161326865109,-2448.113967889184,True,273,,Germany
1,3,-2466.035097376349,-2447.987738400424,True,273,,Germany
3,3,-2465.960010706063,-2447.912651730138,True,273,,Germany
3,1,-2463.44186024624,-2445.3945012703152,True,273,,Germany
3,0,-2463.263235489881,-2445.215876513956,True,273,,Germany
3,2,-2460.1374466574425,-2442.0900876815176,True,273,,Germany
4,3,-2456.4775297777146,-2438.4485194462345,True,272,,Germany
4,1,-2454.1916761349203,-2436.16266580344,True,272,,Germany
4,0,-2453.8642614959435,-2435.8352511644634,True,272,,Germany
4,4,-2451.201731672253,-2433.172721340773,True,272,,Germany
0,4,-2450.9667493844254,-2432.9377390529453,True,272,,Germany
4,2,-2450.8937927192437,-2432.8647823877636,True,272,,Germany
2,4,-2450.887526928812,-2432.858516597332,True,272,,Germany
1,4,-2450.726407564757,-2432.697397233277,True,272,,Germany
3,4,-2450.681081001927,-2432.652070670447,True,272,,Germany
5,3,-2446.9814751183185,-2428.97088101392,True,271,,Germany
5,1,-2444.518872735725,-2426.5082786313264,True,271,,Germany
5,0,-2444.270474027494,-2426.2598799230955,True,271,,Germany
6,3,-2444.119084873212,-2426.1269750782203,True,270,,Germany
4,5,-2443.210001047003,-2425.1994069426046,True,271,,Germany
5,5,-2443.0010312397208,-2424.9904371353223,True,271,,Germany
0,5,-2442.9226082171317,-2424.9120141127332,True,271,,Germany
2,5,-2442.9061709576454,-2424.895576853247,True,271,,Germany
3,5,-2442.718102004771,-2424.7075079003725,True,271,,Germany
1,5,-2442.71515184985,-2424.7045577454514,True,271,,Germany
6,1,-2441.7781398548705,-2423.7860300598786,True,270,,Germany
6,0,-2441.515655321357,-2423.523545526365,True,270,,Germany
5,4,-2441.528323727997,-2423.5177296235984,True,271,,Germany
5,2,-2441.245524893228,-2423.2349307888294,True,271,,Germany
6,5,-2440.6495558451306,-2422.657446050139,True,270,,Germany
4,6,-2439.5370206105044,-2421.5449108155126,True,270,,Germany
2,6,-2439.3624338539435,-2421.3703240589516,True,270,,Germany
0,6,-2439.2778335529683,-2421.2857237579765,True,270,,Germany
5,6,-2439.2419218815435,-2421.2498120865516,True,270,,Germany
1,6,-2439.0866900568644,-2421.0945802618726,True,270,,Germany
6,6,-2439.055611261144,-2421.063501466152,True,270,,Germany
3,6,-2439.0152417460913,-2421.0231319510995,True,270,,Germany
6,4,-2438.816557126507,-2420.8244473315153,True,270,,Germany
6,2,-2438.1550457587555,-2420.1629359637636,True,270,,Germany
