x1_lag,x2_lag,aic,bic,converged,n_obs,error,Country
0,0,-2029.8677561092686,-2011.7657517806829,True,276,,Israel
1,1,-2027.770405273057,-2009.686549784724,True,275,,Israel
1,0,-2027.6194615250315,-2009.5356060366987,True,275,,Israel
0,1,-2022.1347371689606,-2004.0508816806278,True,275,,Israel
0,2,-2020.4472595359434,-2002.3816190040031,True,274,,Israel
1,2,-2020.0701408467564,-2002.0045003148161,True,274,,Israel
2,1,-2019.4232402750652,-2001.3575997431249,True,274,,Israel
2,0,-2019.3298550985733,-2001.264214566633,True,274,,Israel
4,3,-2016.2326599080843,-1998.2036495766042,True,272,,Israel
1,3,-2015.1389489339817,-1997.0915899580568,True,273,,Israel
0,3,-2015.0973753366889,-1997.050016360764,True,273,,Israel
4,1,-2015.0623695989048,-1997.0333592674247,True,272,,Israel
4,0,-2014.7033400048863,-1996.6743296734062,True,272,,Israel
4,4,-2013.818297527533,-1995.789287196053,True,272,,Israel
0,4,-2013.7483614820896,-1995.7193511506096,True,272,,Israel
3,4,-2013.460802554731,-1995.4317922232508,True,272,,Israel
2,2,-2013.0453634095882,-1994.9797228776479,True,274,,Israel
4,2,-2012.9920881289645,-1994.9630777974844,True,272,,Israel
2,4,-2012.9746616854245,-1994.9456513539444,True,272,,Israel
1,4,-2012.8486909209641,-1994.819680589484,True,272,,Israel
3,0,-2012.580324395918,-1994.5329654199932,True,273,,Israel
3,1,-2012.5306901599856,-1994.4833311840607,True,273,,Israel
3,3,-2010.98348361877,-1992.936124642845,True,273,,Israel
2,3,-2009.8012597390166,-1991.7539007630917,True,273,,Israel
2,5,-2008.353178426895,-1990.3425843224966,True,271,,Israel
5,3,-2007.0827314142707,-1989.0721373098722,True,271,,Israel
3,2,-2006.8992982331488,-1988.8519392572239,True,273,,Israel
5,0,-2006.3302658220186,-1988.3196717176202,True,271,,Israel
0,5,-2005.7188975953356,-1987.7083034909372,True,271,,Israel
5,5,-2005.5922546651586,-1987.5816605607602,True,271,,Israel
3,5,-2005.5374611903603,-1987.5268670859618,True,271,,Israel
4,5,-2005.444784234824,-1987.4341901304256,True,271,,Israel
1,5,-2004.9774500956498,-1986.9668559912514,True,271,,Israel
5,4,-2004.3329161272563,-1986.3223220228579,True,271,,Israel
5,2,-2004.0222776201688,-1986.0116835157703,True,271,,Israel
6,3,-2003.4275649408048,-1985.435455145813,True,270,,Israel
5,1,-2002.8815244284683,-1984.8709303240698,True,271,,Israel
3,6,-2001.5818617975267,-1983.5897520025349,True,270,,Israel
6,1,-2000.4694879520332,-1982.4773781570414,True,270,,Israel
5,6,-2000.4033833601716,-1982.4112735651797,True,270,,Israel
6,0,-2000.3514180052484,-1982.3593082102566,True,270,,Israel
2,6,-2000.2961025085967,-1982.3039927136049,True,270,,Israel
6,5,-1997.368572433361,-1979.376462638369,True,270,,Israel
6,4,-1996.426247572928,-1978.4341377779363,True,270,,Israel
6,2,-1995.9930349179476,-1978.0009251229558,True,270,,Israel
0,6,-1995.5855021561576,-1977.5933923611658,True,270,,Israel
6,6,-1995.5730549727577,-1977.580945177766,True,270,,Israel
4,6,-1995.3215451768885,-1977.3294353818967,True,270,,Israel
1,6,-1994.8230233967606,-1976.8309136017688,True,270,,Israel
