x1_lag,x2_lag,aic,bic,converged,n_obs,error,Country
2,2,-2311.3377719399004,-2293.831480887177,True,245,,Korea
0,0,-2309.8690461757783,-2292.3221044926386,True,247,,Korea
2,0,-2304.304480685189,-2286.7981896324654,True,245,,Korea
2,1,-2304.2757146720724,-2286.769423619349,True,245,,Korea
1,1,-2299.6316592804915,-2282.10500160083,True,246,,Korea
0,1,-2299.6014183866146,-2282.074760706953,True,246,,Korea
0,2,-2299.2061678290333,-2281.69987677631,True,245,,Korea
1,0,-2299.0298391649876,-2281.503181485326,True,246,,Korea
1,2,-2298.85079603446,-2281.3445049817365,True,245,,Korea
2,3,-2297.536011486871,-2280.050170360405,True,244,,Korea
3,2,-2289.2878512903526,-2271.8020101638867,True,244,,Korea
4,2,-2288.9148753027243,-2271.449568086022,True,243,,Korea
2,4,-2288.7738873554595,-2271.308580138757,True,243,,Korea
3,3,-2287.3761562675977,-2269.890315141132,True,244,,Korea
1,3,-2286.8863950325112,-2269.4005539060454,True,244,,Korea
0,3,-2286.305322399,-2268.819481272534,True,244,,Korea
4,3,-2286.2764788353443,-2268.8111716186413,True,243,,Korea
4,4,-2286.0432663149727,-2268.57795909827,True,243,,Korea
4,1,-2283.3899473577526,-2265.92464014105,True,243,,Korea
4,0,-2282.379569226315,-2264.9142620096127,True,243,,Korea
3,1,-2282.2443682624257,-2264.75852713596,True,244,,Korea
3,0,-2282.0431459696974,-2264.5573048432316,True,244,,Korea
3,4,-2278.016837818289,-2260.551530601586,True,243,,Korea
5,2,-2277.399399320236,-2259.954710689453,True,242,,Korea
1,4,-2277.263469280836,-2259.798162064133,True,243,,Korea
0,4,-2276.7773969486443,-2259.3120897319413,True,243,,Korea
5,3,-2274.706970301695,-2257.2622816709118,True,242,,Korea
2,5,-2274.054159442192,-2256.6094708114088,True,242,,Korea
5,4,-2273.7224234433033,-2256.27773481252,True,242,,Korea
4,5,-2273.2368815965765,-2255.792192965793,True,242,,Korea
5,5,-2271.836103025357,-2254.3914143945735,True,242,,Korea
5,1,-2270.90912563492,-2253.464437004137,True,242,,Korea
5,0,-2270.635531751076,-2253.190843120293,True,242,,Korea
3,5,-2265.7730233596512,-2248.328334728868,True,242,,Korea
1,5,-2264.894876002282,-2247.450187371499,True,242,,Korea
0,5,-2264.6707481174153,-2247.226059486632,True,242,,Korea
2,6,-2262.8771825001236,-2245.4531978326704,True,241,,Korea
6,2,-2261.6378974978506,-2244.2139128303975,True,241,,Korea
5,6,-2260.9134105501907,-2243.4894258827376,True,241,,Korea
6,3,-2260.1759976647836,-2242.7520129973304,True,241,,Korea
6,4,-2258.8102044718917,-2241.3862198044385,True,241,,Korea
6,5,-2256.764401761953,-2239.3404170945,True,241,,Korea
6,1,-2256.1959835879397,-2238.7719989204866,True,241,,Korea
4,6,-2255.7918231381536,-2238.3678384707005,True,241,,Korea
3,6,-2255.730044532046,-2238.306059864593,True,241,,Korea
6,0,-2255.7018928505177,-2238.2779081830645,True,241,,Korea
6,6,-2255.5638476992744,-2238.1398630318213,True,241,,Korea
1,6,-2254.65507744801,-2237.231092780557,True,241,,Korea
0,6,-2253.9993526876915,-2236.5753680202383,True,241,,Korea
