x1_lag,x2_lag,aic,bic,converged,n_obs,error,Country
0,0,-1694.5019229016245,-1677.6255308632037,True,216,,Latvia
1,0,-1682.703415498175,-1665.8502253575366,True,215,,Latvia
0,1,-1678.4635678079276,-1661.6103776672892,True,215,,Latvia
2,0,-1677.7405942501873,-1660.910714175078,True,214,,Latvia
1,1,-1676.7974455025685,-1659.9442553619301,True,215,,Latvia
2,1,-1671.949333909045,-1655.1194538339357,True,214,,Latvia
2,2,-1671.3971278728486,-1654.5672477977394,True,214,,Latvia
0,2,-1670.0561551340347,-1653.2262750589255,True,214,,Latvia
1,2,-1668.6203472720763,-1651.790467196967,True,214,,Latvia
3,0,-1667.7162442143058,-1650.9097833857586,True,213,,Latvia
2,3,-1663.0585914772364,-1646.2521306486892,True,213,,Latvia
3,1,-1661.543596573341,-1644.7371357447937,True,213,,Latvia
3,2,-1661.2675090860378,-1644.4610482574906,True,213,,Latvia
0,3,-1660.79884416832,-1643.992383339773,True,213,,Latvia
3,3,-1660.719715685569,-1643.913254857022,True,213,,Latvia
4,0,-1660.144144734366,-1643.3612133610059,True,212,,Latvia
1,3,-1660.0075336021264,-1643.2010727735792,True,213,,Latvia
2,4,-1655.7184640146193,-1638.9355326412592,True,212,,Latvia
4,3,-1655.133892000007,-1638.350960626647,True,212,,Latvia
4,1,-1654.931892884843,-1638.1489615114829,True,212,,Latvia
4,2,-1654.8705979314832,-1638.0876665581231,True,212,,Latvia
4,4,-1653.6149284404935,-1636.8319970671334,True,212,,Latvia
0,4,-1653.6133474306519,-1636.8304160572918,True,212,,Latvia
3,4,-1652.602475455511,-1635.819544082151,True,212,,Latvia
5,0,-1652.520459977679,-1635.7611693102986,True,211,,Latvia
1,4,-1652.2721147778989,-1635.4891834045388,True,212,,Latvia
5,5,-1650.767527513507,-1634.0082368461267,True,211,,Latvia
5,1,-1650.4886834567176,-1633.7293927893372,True,211,,Latvia
4,5,-1647.8314705156054,-1631.072179848225,True,211,,Latvia
5,3,-1647.7560945002956,-1630.9968038329152,True,211,,Latvia
5,2,-1647.1235362997973,-1630.364245632417,True,211,,Latvia
5,4,-1647.0376192787273,-1630.278328611347,True,211,,Latvia
3,5,-1646.0435666715525,-1629.2842760041722,True,211,,Latvia
2,5,-1645.8219743068519,-1629.0626836394715,True,211,,Latvia
0,5,-1645.5244650773056,-1628.7651744099253,True,211,,Latvia
6,5,-1644.4536261564454,-1627.718088502858,True,210,,Latvia
6,0,-1644.2587152528731,-1627.5231775992859,True,210,,Latvia
1,5,-1643.9771916742707,-1627.2179010068903,True,211,,Latvia
6,1,-1643.5993266462212,-1626.863788992634,True,210,,Latvia
6,2,-1643.5680582352652,-1626.832520581678,True,210,,Latvia
6,4,-1643.5510675339033,-1626.815529880316,True,210,,Latvia
6,3,-1639.313962861992,-1622.5784252084047,True,210,,Latvia
5,6,-1638.81759827012,-1622.0820606165328,True,210,,Latvia
4,6,-1638.447531236176,-1621.7119935825888,True,210,,Latvia
6,6,-1637.9043666850766,-1621.1688290314894,True,210,,Latvia
2,6,-1637.4627147564825,-1620.7271771028952,True,210,,Latvia
3,6,-1635.1882944733816,-1618.4527568197943,True,210,,Latvia
0,6,-1634.5828162435478,-1617.8472785899605,True,210,,Latvia
1,6,-1634.2598427665762,-1617.524305112989,True,210,,Latvia
