x1_lag,x2_lag,aic,bic,converged,n_obs,error,Country
0,0,-1269.720432425107,-1254.4711523888593,True,156,,Lithuania
0,1,-1258.845369894738,-1243.6282443101418,True,155,,Lithuania
1,0,-1258.2762374209751,-1243.0591118363789,True,155,,Lithuania
1,1,-1257.0145366184502,-1241.797411033854,True,155,,Lithuania
2,0,-1249.2911594261727,-1234.1063964141047,True,154,,Lithuania
0,2,-1248.3536260798073,-1233.1688630677393,True,154,,Lithuania
2,1,-1247.4413362765292,-1232.2565732644612,True,154,,Lithuania
1,2,-1246.602479148497,-1231.417716136429,True,154,,Lithuania
2,2,-1246.4075718809222,-1231.2228088688541,True,154,,Lithuania
3,3,-1241.8378437009005,-1226.6856540939384,True,153,,Lithuania
2,3,-1241.394059183047,-1226.2418695760848,True,153,,Lithuania
3,0,-1239.2823308962193,-1224.1301412892572,True,153,,Lithuania
0,3,-1239.2488543601062,-1224.096664753144,True,153,,Lithuania
3,1,-1237.450682182016,-1222.2984925750538,True,153,,Lithuania
1,3,-1237.3237083832557,-1222.1715187762936,True,153,,Lithuania
3,2,-1236.6163919429196,-1221.4642023359575,True,153,,Lithuania
4,4,-1232.6155015208606,-1217.496098916629,True,152,,Lithuania
0,4,-1231.1713324957302,-1216.0519298914987,True,152,,Lithuania
4,1,-1230.934991957296,-1215.8155893530645,True,152,,Lithuania
2,5,-1230.631499734699,-1215.5451005506243,True,151,,Lithuania
0,5,-1230.262103153303,-1215.1757039692284,True,151,,Lithuania
1,4,-1229.887307231873,-1214.7679046276414,True,152,,Lithuania
2,4,-1229.5049434666334,-1214.385540862402,True,152,,Lithuania
1,5,-1229.1012901125964,-1214.0148909285217,True,151,,Lithuania
3,4,-1228.7518159165277,-1213.6324133122962,True,152,,Lithuania
5,5,-1227.306776275336,-1212.2203770912613,True,151,,Lithuania
4,0,-1224.7398352074931,-1209.6204326032616,True,152,,Lithuania
5,4,-1223.4174157914176,-1208.331016607343,True,151,,Lithuania
3,5,-1223.0827432840124,-1207.9963440999377,True,151,,Lithuania
4,3,-1221.5468217227667,-1206.4274191185352,True,152,,Lithuania
4,2,-1221.3909296996985,-1206.271527095467,True,152,,Lithuania
5,3,-1220.75022797451,-1205.6638287904352,True,151,,Lithuania
4,5,-1216.4675644608474,-1201.3811652767727,True,151,,Lithuania
2,6,-1216.0554276658224,-1201.0022511953412,True,150,,Lithuania
6,6,-1214.6986701316737,-1199.6454936611924,True,150,,Lithuania
6,3,-1213.0164904038372,-1197.963313933356,True,150,,Lithuania
5,0,-1211.9062212228998,-1196.8198220388251,True,151,,Lithuania
0,6,-1211.2731532516768,-1196.2199767811956,True,150,,Lithuania
5,1,-1209.840185198962,-1194.7537860148873,True,151,,Lithuania
1,6,-1208.6991987954307,-1193.6460223249494,True,150,,Lithuania
5,2,-1208.5858583267968,-1193.4994591427221,True,151,,Lithuania
3,6,-1208.3711858145784,-1193.3180093440972,True,150,,Lithuania
6,5,-1206.1641051413326,-1191.1109286708513,True,150,,Lithuania
6,0,-1204.363239647616,-1189.3100631771347,True,150,,Lithuania
4,6,-1201.8094788619437,-1186.7563023914624,True,150,,Lithuania
6,4,-1201.7913181807398,-1186.7381417102586,True,150,,Lithuania
6,1,-1201.7883386595631,-1186.7351621890818,True,150,,Lithuania
6,2,-1200.4070543762643,-1185.353877905783,True,150,,Lithuania
5,6,-1198.0816277003223,-1183.028451229841,True,150,,Lithuania
