x1_lag,x2_lag,aic,bic,converged,n_obs,error,Country
0,0,-2454.0231907067846,-2435.921186378199,True,276,,Norway
1,0,-2446.525212862125,-2428.441357373792,True,275,,Norway
1,1,-2443.8674041628606,-2425.7835486745275,True,275,,Norway
0,1,-2443.409309847829,-2425.325454359496,True,275,,Norway
2,0,-2436.100712948154,-2418.0350724162136,True,274,,Norway
1,2,-2434.246879386951,-2416.1812388550106,True,274,,Norway
0,2,-2434.030646428526,-2415.9650058965854,True,274,,Norway
2,1,-2433.6193317588377,-2415.553691226897,True,274,,Norway
2,2,-2433.517437963766,-2415.4517974318255,True,274,,Norway
0,3,-2428.972405192045,-2410.92504621612,True,273,,Norway
1,3,-2428.1766307797525,-2410.1292718038276,True,273,,Norway
2,3,-2427.7620572479846,-2409.7146982720596,True,273,,Norway
3,3,-2427.7607056065835,-2409.7133466306586,True,273,,Norway
3,0,-2426.8532267298388,-2408.805867753914,True,273,,Norway
3,1,-2424.21992961352,-2406.172570637595,True,273,,Norway
3,2,-2424.152153901276,-2406.104794925351,True,273,,Norway
4,3,-2418.464223367327,-2400.435213035847,True,272,,Norway
4,0,-2417.283104190118,-2399.254093858638,True,272,,Norway
1,4,-2415.1450591462412,-2397.116048814761,True,272,,Norway
0,4,-2414.737422528006,-2396.708412196526,True,272,,Norway
4,1,-2414.718459832629,-2396.689449501149,True,272,,Norway
3,4,-2414.57599425442,-2396.54698392294,True,272,,Norway
4,2,-2414.54769873001,-2396.51868839853,True,272,,Norway
4,4,-2414.383286895147,-2396.354276563667,True,272,,Norway
2,4,-2414.247601296203,-2396.218590964723,True,272,,Norway
5,3,-2409.0057273379207,-2390.995133233522,True,271,,Norway
5,0,-2408.3070590946672,-2390.2964649902688,True,271,,Norway
0,5,-2407.8950109865473,-2389.884416882149,True,271,,Norway
1,5,-2407.698854127797,-2389.6882600233985,True,271,,Norway
2,5,-2407.1752479747997,-2389.1646538704013,True,271,,Norway
3,5,-2407.0002895987723,-2388.989695494374,True,271,,Norway
4,5,-2406.946843633292,-2388.9362495288933,True,271,,Norway
5,5,-2406.870683125724,-2388.8600890213256,True,271,,Norway
5,1,-2405.4926708586036,-2387.482076754205,True,271,,Norway
5,2,-2405.3526424893275,-2387.342048384929,True,271,,Norway
5,4,-2405.112652215332,-2387.1020581109337,True,271,,Norway
6,3,-2399.596118494976,-2381.604008699984,True,270,,Norway
6,0,-2399.1578031896297,-2381.165693394638,True,270,,Norway
6,5,-2397.5504338725987,-2379.558324077607,True,270,,Norway
1,6,-2396.6400471551788,-2378.647937360187,True,270,,Norway
0,6,-2396.636096831822,-2378.6439870368304,True,270,,Norway
5,6,-2396.311712711243,-2378.3196029162514,True,270,,Norway
3,6,-2396.153778058583,-2378.1616682635913,True,270,,Norway
4,6,-2396.120333864875,-2378.1282240698833,True,270,,Norway
6,6,-2396.054781014521,-2378.062671219529,True,270,,Norway
2,6,-2395.984457670781,-2377.992347875789,True,270,,Norway
6,1,-2395.878610230042,-2377.88650043505,True,270,,Norway
6,2,-2395.793273647384,-2377.801163852392,True,270,,Norway
6,4,-2395.5489934469947,-2377.556883652003,True,270,,Norway
