x1_lag,x2_lag,aic,bic,converged,n_obs,error,Country
0,0,-2670.4453915679087,-2652.343387239323,True,276,,Switzerland
1,0,-2658.891289975587,-2640.807434487254,True,275,,Switzerland
0,1,-2656.70444122314,-2638.620585734807,True,275,,Switzerland
1,1,-2655.5702331669163,-2637.4863776785833,True,275,,Switzerland
2,0,-2650.0802872102777,-2632.014646678337,True,274,,Switzerland
2,2,-2648.154013050058,-2630.0883725181175,True,274,,Switzerland
0,2,-2647.4851885414537,-2629.419548009513,True,274,,Switzerland
2,1,-2646.647595796047,-2628.5819552641065,True,274,,Switzerland
1,2,-2646.61802358556,-2628.5523830536195,True,274,,Switzerland
3,0,-2637.478343487291,-2619.430984511366,True,273,,Switzerland
3,2,-2635.907644407298,-2617.860285431373,True,273,,Switzerland
2,3,-2635.752087839025,-2617.7047288631,True,273,,Switzerland
0,3,-2635.2412259720372,-2617.1938669961123,True,273,,Switzerland
3,1,-2634.1569316081814,-2616.1095726322565,True,273,,Switzerland
1,3,-2634.092347450512,-2616.044988474587,True,273,,Switzerland
3,3,-2634.0706961645146,-2616.0233371885897,True,273,,Switzerland
4,0,-2627.32436467156,-2609.29535434008,True,272,,Switzerland
4,2,-2625.5284719795695,-2607.4994616480894,True,272,,Switzerland
2,4,-2624.7038433135667,-2606.6748329820866,True,272,,Switzerland
0,4,-2624.110038702821,-2606.081028371341,True,272,,Switzerland
4,1,-2623.8417095757964,-2605.8126992443163,True,272,,Switzerland
4,3,-2623.7287629804687,-2605.6997526489886,True,272,,Switzerland
4,4,-2622.6536478690246,-2604.6246375375445,True,272,,Switzerland
1,4,-2622.6415870120322,-2604.612576680552,True,272,,Switzerland
3,4,-2622.5369970041215,-2604.5079866726414,True,272,,Switzerland
5,0,-2616.5848643886557,-2598.574270284257,True,271,,Switzerland
2,5,-2615.656334158381,-2597.6457400539825,True,271,,Switzerland
0,5,-2615.270760703488,-2597.2601665990896,True,271,,Switzerland
5,2,-2614.933125514721,-2596.9225314103223,True,271,,Switzerland
1,5,-2613.3159456516014,-2595.305351547203,True,271,,Switzerland
4,5,-2613.311461050221,-2595.3008669458227,True,271,,Switzerland
5,1,-2613.2177005030107,-2595.2071063986123,True,271,,Switzerland
5,3,-2613.1836588276155,-2595.173064723217,True,271,,Switzerland
3,5,-2613.1399524605363,-2595.129358356138,True,271,,Switzerland
5,5,-2613.0732613725713,-2595.062667268173,True,271,,Switzerland
5,4,-2612.0305507058615,-2594.019956601463,True,271,,Switzerland
6,0,-2606.4573896078573,-2588.4652798128654,True,270,,Switzerland
6,2,-2604.6762209628823,-2586.6841111678905,True,270,,Switzerland
2,6,-2603.5376524315325,-2585.5455426365406,True,270,,Switzerland
6,1,-2602.950396689718,-2584.9582868947264,True,270,,Switzerland
0,6,-2602.9464099895704,-2584.9543001945785,True,270,,Switzerland
6,5,-2602.897945290162,-2584.9058354951703,True,270,,Switzerland
6,3,-2602.7884762282747,-2584.796366433283,True,270,,Switzerland
6,6,-2601.679075179476,-2583.686965384484,True,270,,Switzerland
6,4,-2601.6182644160044,-2583.6261546210126,True,270,,Switzerland
5,6,-2601.4794691142324,-2583.4873593192406,True,270,,Switzerland
4,6,-2601.4210042110217,-2583.42889441603,True,270,,Switzerland
1,6,-2601.41054677103,-2583.4184369760383,True,270,,Switzerland
3,6,-2601.315856481102,-2583.32374668611,True,270,,Switzerland
