p,d,q,order,aic,bic,log_likelihood,lb_pvalue,lb_pass,n_significant,n_total,converged,error
0,0,0,"(0,0,0)",-2240.3871953115204,-2225.905591848652,1124.1935976557602,2.1670906114830364e-134,False,4,4,True,
0,0,1,"(0,0,1)",-2400.8548409560944,-2382.7528366275087,1205.4274204780472,2.1963425712438455e-48,False,4,5,True,
0,0,2,"(0,0,2)",-2489.540633736996,-2467.818228542693,1250.770316868498,3.3096463890223337e-23,False,5,6,True,
0,0,3,"(0,0,3)",-2529.295090143689,-2503.952284083669,1271.6475450718444,4.2896209569577686e-14,False,6,7,True,
1,0,0,"(1,0,0)",-2610.8253194450017,-2592.723315116416,1310.4126597225008,0.38803570977976876,True,3,5,True,
1,0,1,"(1,0,1)",-2611.971810347748,-2590.249405153445,1311.985905173874,0.3685116950488345,True,3,6,True,
1,0,2,"(1,0,2)",-2609.1686302309604,-2583.8258241709405,1311.5843151154802,0.6022844413598882,True,3,7,True,
1,0,3,"(1,0,3)",-2606.5364016892163,-2577.573194763479,1311.2682008446081,0.6188436282729166,True,3,8,True,
2,0,0,"(2,0,0)",-2609.388283704001,-2587.665878509698,1310.6941418520005,0.48549615343240593,True,3,6,True,
2,0,1,"(2,0,1)",-2234.398016266131,-2209.055210206111,1124.1990081330655,2.1398649043785599e-134,False,3,7,True,
2,0,2,"(2,0,2)",-2607.1977935152045,-2578.234586589467,1311.5988967576022,0.6216239453594261,True,2,8,True,
2,0,3,"(2,0,3)",-2576.5875326708338,-2544.0039248793796,1297.2937663354169,0.00045412001798780306,False,3,9,True,
3,0,0,"(3,0,0)",-2609.5089534091676,-2584.1661473491476,1311.7544767045838,0.6388706281935741,True,3,7,True,
3,0,1,"(3,0,1)",-2610.2204865643207,-2581.2572796385834,1313.1102432821604,0.573400155936665,True,2,8,True,
3,0,2,"(3,0,2)",-2230.4040655116896,-2197.8204577202355,1124.2020327558448,2.1492244144567277e-134,False,3,9,True,
3,0,3,"(3,0,3)",-2228.4069199861433,-2192.202911328972,1124.2034599930716,2.1584706845456905e-134,False,3,10,True,
