p,d,q,order,aic,bic,log_likelihood,lb_pvalue,lb_pass,n_significant,n_total,converged,error
0,0,0,"(0,0,0)",-2206.709188102909,-2192.2275846400407,1107.3545940514546,8.477002951200022e-160,False,3,4,True,
0,0,1,"(0,0,1)",-2337.5815483326483,-2319.4795440040625,1173.7907741663241,9.080018941352001e-76,False,4,5,True,
0,0,2,"(0,0,2)",-2398.835954668665,-2377.113549474362,1205.4179773343326,8.217174059126935e-31,False,5,6,True,
0,0,3,"(0,0,3)",-2382.5363583841663,-2357.1935523241464,1198.2681791920832,1.9760082478055717e-39,False,6,7,True,
1,0,0,"(1,0,0)",-2489.6649675832296,-2471.562963254644,1249.8324837916148,1.013320540868729e-06,False,3,5,True,
1,0,1,"(1,0,1)",-2519.664437501475,-2497.9420323071718,1265.8322187507374,0.075224001828716,True,4,6,True,
1,0,2,"(1,0,2)",-2530.567609809029,-2505.224803749009,1272.2838049045145,0.8468264845851556,True,5,7,True,
1,0,3,"(1,0,3)",-2528.7455941079693,-2499.782387182232,1272.3727970539846,0.7409159614775747,True,5,8,True,
2,0,0,"(2,0,0)",-2528.547193334055,-2506.824788139752,1270.2735966670275,0.5069253062106791,True,4,6,True,
2,0,1,"(2,0,1)",-2526.932842988176,-2501.590036928156,1270.466421494088,0.5775688272972566,True,3,7,True,
2,0,2,"(2,0,2)",-2529.1289423881676,-2500.1657354624303,1272.5644711940838,0.8619119939322464,True,3,8,True,
2,0,3,"(2,0,3)",-2526.834323786322,-2494.2507159948677,1272.417161893161,0.7611315907871621,True,2,9,True,
3,0,0,"(3,0,0)",-2527.2166597274318,-2501.873853667412,1270.6083298637159,0.606788243729914,True,4,7,True,
3,0,1,"(3,0,1)",-2525.5560131144784,-2496.592806188741,1270.7780065572392,0.6449622565705082,True,2,8,True,
3,0,2,"(3,0,2)",-2526.5820187421505,-2493.9984109506963,1272.2910093710752,0.8950177440686319,True,3,9,True,
3,0,3,"(3,0,3)",-2524.857154140229,-2488.6531454830574,1272.4285770701144,0.7573708989221029,True,2,10,True,
