p,d,q,order,aic,bic,log_likelihood,lb_pvalue,lb_pass,n_significant,n_total,converged,error
0,0,0,"(0,0,0)",-1255.0312919892042,-1240.5496885263356,631.5156459946021,5.27447817957427e-252,False,3,4,True,
0,0,1,"(0,0,1)",-1581.9911964116495,-1563.8891920830638,795.9955982058248,9.660284912667178e-177,False,3,5,True,
0,0,2,"(0,0,2)",-1801.1651301817938,-1779.442724987491,906.5825650908969,7.719373860569397e-98,False,4,6,True,
0,0,3,"(0,0,3)",-1897.1673920641051,-1871.8245860040852,955.5836960320526,2.0039486747975674e-36,False,4,7,True,
1,0,0,"(1,0,0)",-2029.8677561092686,-2011.7657517806829,1019.9338780546343,0.0021797641844999603,False,2,5,True,
1,0,1,"(1,0,1)",-2082.8390405685373,-2061.116635374234,1047.4195202842686,0.3839201752158026,True,3,6,True,
1,0,2,"(1,0,2)",-2084.0555912612426,-2058.7127852012227,1049.0277956306213,0.5099348103985213,True,3,7,True,
1,0,3,"(1,0,3)",-2086.668791349838,-2057.705584424101,1051.334395674919,0.7688693692419056,True,4,8,True,
2,0,0,"(2,0,0)",-2084.2846159012647,-2062.5622107069617,1048.1423079506324,0.3836891622260984,True,3,6,True,
2,0,1,"(2,0,1)",-2086.7143294295693,-2061.3715233695493,1050.3571647147846,0.5657755145212863,True,3,7,True,
2,0,2,"(2,0,2)",-2041.3822968255363,-2012.419089899799,1028.6911484127681,7.768814515522931e-06,False,6,8,True,
2,0,3,"(2,0,3)",-2084.8320235848914,-2052.2484157934373,1051.4160117924457,0.375814449622366,True,5,9,True,
3,0,0,"(3,0,0)",-2085.289605277637,-2059.946799217617,1049.6448026388184,0.6209676121751939,True,4,7,True,
3,0,1,"(3,0,1)",-2085.189845687693,-2056.2266387619557,1050.5949228438465,0.5791091650664557,True,1,8,True,
3,0,2,"(3,0,2)",-2030.891437171082,-1998.3078293796277,1024.445718585541,0.0005506973671485884,False,1,9,True,
3,0,3,"(3,0,3)",-2087.8014486785437,-2051.597440021372,1053.9007243392718,0.6618995164295471,True,3,10,True,
