p,d,q,order,aic,bic,log_likelihood,lb_pvalue,lb_pass,n_significant,n_total,converged,error
0,0,0,"(0,0,0)",-1689.9739985899564,-1675.9689657477775,848.9869992949782,2.263706316909881e-282,False,4,4,True,
0,0,1,"(0,0,1)",-1938.9934961262989,-1921.4872050735753,974.4967480631494,1.1877127380808449e-185,False,5,5,True,
0,0,2,"(0,0,2)",-2019.258396847817,-1998.2508475845486,1015.6291984239085,1.2437847457389155e-76,False,6,6,True,
0,0,3,"(0,0,3)",-2114.567810326739,-2090.059002852926,1064.2839051633696,7.14477501277211e-55,False,7,7,True,
1,0,0,"(1,0,0)",-2311.3377719399004,-2293.831480887177,1160.6688859699502,0.442075064642411,True,5,5,True,
1,0,1,"(1,0,1)",-2309.034415427156,-2288.026866163888,1160.517207713578,0.3834726224513248,True,5,6,True,
1,0,2,"(1,0,2)",-2306.654570139044,-2282.145762665231,1160.327285069522,0.29886700360678703,True,5,7,True,
1,0,3,"(1,0,3)",-2302.9006022978315,-2274.8905366134736,1159.4503011489157,0.19959714088728062,True,5,8,True,
2,0,0,"(2,0,0)",-2309.075421659676,-2288.067872396408,1160.537710829838,0.39293148810334605,True,5,6,True,
2,0,1,"(2,0,1)",-2306.78558253583,-2282.276775062017,1160.392791267915,0.2904049795871389,True,6,7,True,
2,0,2,"(2,0,2)",-2303.7279524440246,-2275.7178867596667,1159.8639762220123,0.2524795609450184,True,4,8,True,
2,0,3,"(2,0,3)",-2304.8369717497935,-2273.325647854891,1161.4184858748968,0.49291397592421426,True,4,9,True,
3,0,0,"(3,0,0)",-2306.3108364311533,-2281.80202895734,1160.1554182155767,0.28438140681782065,True,5,7,True,
3,0,1,"(3,0,1)",-2305.288321969348,-2277.27825628499,1160.644160984674,0.3868357754259214,True,4,8,True,
3,0,2,"(3,0,2)",-2302.547855958217,-2271.0365320633146,1160.2739279791085,0.2368195984098449,True,5,9,True,
3,0,3,"(3,0,3)",-2300.3046000032855,-2265.2920178978384,1160.1523000016427,0.1938291006675651,True,4,10,True,
