p,d,q,order,aic,bic,log_likelihood,lb_pvalue,lb_pass,n_significant,n_total,converged,error
0,0,0,"(0,0,0)",-946.4109831202115,-932.9098694894749,477.20549156010577,5.79661644221021e-290,False,4,4,True,
0,0,1,"(0,0,1)",-1197.7478459522517,-1180.871453913831,603.8739229761259,7.19233540170384e-230,False,4,5,True,
0,0,2,"(0,0,2)",-1333.5507288735762,-1313.2990584274712,672.7753644367881,1.198321618180551e-154,False,5,6,True,
0,0,3,"(0,0,3)",-1448.9225217963187,-1425.2955729425296,731.4612608981594,4.059771768182283e-122,False,6,7,True,
1,0,0,"(1,0,0)",-1694.5019229016245,-1677.6255308632037,852.2509614508123,7.350341144394888e-16,False,5,5,True,
1,0,1,"(1,0,1)",-1705.0304117261137,-1684.7787412800087,858.5152058630568,1.429251101315576e-07,False,6,6,True,
1,0,2,"(1,0,2)",-1708.1530928359161,-1684.526143982127,861.0765464179581,2.834697453457319e-05,False,5,7,True,
1,0,3,"(1,0,3)",-1700.7324506402365,-1673.7302233787632,858.3662253201182,5.658255579123942e-09,False,6,8,True,
2,0,0,"(2,0,0)",-1707.456678470661,-1687.205008024556,859.7283392353305,1.9698421938378793e-06,False,6,6,True,
2,0,1,"(2,0,1)",-1686.779635272847,-1663.1526864190578,850.3898176364235,0.0022311361510598446,False,3,7,True,
2,0,2,"(2,0,2)",-1717.613044342917,-1690.6108170814437,866.8065221714585,0.0014983847786889071,False,6,8,True,
2,0,3,"(2,0,3)",-1716.3849828848938,-1686.0074772157363,867.1924914424469,0.002538837048704306,False,7,9,True,
3,0,0,"(3,0,0)",-1703.765120164787,-1680.138171310998,858.8825600823935,1.155962368836352e-09,False,5,7,True,
3,0,1,"(3,0,1)",-1705.5706207256933,-1678.56839346422,860.7853103628466,8.8378491452811e-06,False,4,8,True,
3,0,2,"(3,0,2)",-1701.1801463269253,-1670.8026406577678,859.5900731634626,5.006587740974902e-12,False,3,9,True,
3,0,3,"(3,0,3)",-1719.7649462765385,-1686.0121621996968,869.8824731382692,0.0019292221502246827,False,4,10,True,
