p,d,q,order,aic,bic,log_likelihood,lb_pvalue,lb_pass,n_significant,n_total,converged,error
0,0,0,"(0,0,0)",-876.4699632180531,-864.270539189055,442.23498160902653,6.121938738194726e-120,False,3,4,True,
0,0,1,"(0,0,1)",-1046.7384098782786,-1031.489129842031,528.3692049391393,5.2866221827616245e-79,False,4,5,True,
0,0,2,"(0,0,2)",-1138.0852342495054,-1119.7860982060083,575.0426171247527,5.658662028751735e-40,False,5,6,True,
0,0,3,"(0,0,3)",-1193.6032500346132,-1172.2542579838664,603.8016250173066,8.5821753287984975e-19,False,6,7,True,
1,0,0,"(1,0,0)",-1269.720432425107,-1254.4711523888593,639.8602162125535,0.00015226493377795645,False,5,5,True,
1,0,1,"(1,0,1)",-1283.9392721684094,-1265.6401361249123,647.9696360842047,0.14605712289559153,True,5,6,True,
1,0,2,"(1,0,2)",-1286.3079066792498,-1264.958914628503,650.1539533396249,0.4023038435950677,True,5,7,True,
1,0,3,"(1,0,3)",-1284.994752309369,-1260.5959042513728,650.4973761546845,0.3870072663516576,True,5,8,True,
2,0,0,"(2,0,0)",-1288.3592410192705,-1270.0601049757734,650.1796205096352,0.3783318055762565,True,5,6,True,
2,0,1,"(2,0,1)",-1286.6748528874878,-1265.325860836741,650.3374264437439,0.3792993306729529,True,4,7,True,
2,0,2,"(2,0,2)",-1286.373356274664,-1261.9745082166678,651.186678137332,0.4478827547200427,True,5,8,True,
2,0,3,"(2,0,3)",-1288.4932139040745,-1261.0445098388286,653.2466069520373,0.5657852429004759,True,5,9,True,
3,0,0,"(3,0,0)",-1286.6357404965656,-1265.2867484458188,650.3178702482828,0.3780520504825095,True,5,7,True,
3,0,1,"(3,0,1)",-1284.4120559923917,-1260.0132079343955,650.2060279961959,0.3753181847307822,True,3,8,True,
3,0,2,"(3,0,2)",-1284.4943094741725,-1257.0456054089266,651.2471547370862,0.37758918420343157,True,5,9,True,
3,0,3,"(3,0,3)",-1283.5181391172769,-1253.0195790447815,651.7590695586384,0.45320034529444375,True,2,10,True,
