p,d,q,order,aic,bic,log_likelihood,lb_pvalue,lb_pass,n_significant,n_total,converged,error
0,0,0,"(0,0,0)",-1910.1647550274038,-1895.6831515645351,959.0823775137019,0.0,False,2,4,True,
0,0,1,"(0,0,1)",-2161.4405219223086,-2143.338517593723,1085.7202609611543,1.866196325763963e-189,False,4,5,True,
0,0,2,"(0,0,2)",-2236.432433320795,-2214.710028126492,1124.2162166603975,3.861772779027129e-92,False,4,6,True,
0,0,3,"(0,0,3)",-2337.626677566684,-2312.283871506664,1175.813338783342,6.820802015950246e-53,False,6,7,True,
1,0,0,"(1,0,0)",-2454.0231907067846,-2435.921186378199,1232.0115953533923,0.010752520108744846,False,3,5,True,
1,0,1,"(1,0,1)",-2457.286277401544,-2435.563872207241,1234.643138700772,0.027956084144859252,False,4,6,True,
1,0,2,"(1,0,2)",-2456.920228529733,-2431.577422469713,1235.4601142648664,0.032683657522436245,False,4,7,True,
1,0,3,"(1,0,3)",-2455.949089228987,-2426.9858823032496,1235.9745446144934,0.039209861618635294,False,5,8,True,
2,0,0,"(2,0,0)",-2456.291402571821,-2434.568997377518,1234.1457012859105,0.025419493642861214,False,4,6,True,
2,0,1,"(2,0,1)",-1899.2439273793998,-1873.9011213193799,956.6219636896999,2.1197798318341763e-174,False,4,7,True,
2,0,2,"(2,0,2)",-2454.2713525828444,-2425.308145657107,1235.1356762914222,0.0049044901939164125,False,6,8,True,
2,0,3,"(2,0,3)",-2455.922036277105,-2423.3384284856506,1236.9610181385524,0.08415471972670453,True,3,9,True,
3,0,0,"(3,0,0)",-2457.687069325169,-2432.344263265149,1235.8435346625845,0.027547827981887252,False,5,7,True,
3,0,1,"(3,0,1)",-2457.159287917957,-2428.19608099222,1236.5796439589785,0.04806872139792821,False,3,8,True,
3,0,2,"(3,0,2)",-2446.0087058013933,-2413.425098009939,1232.0043529006966,0.05688161777101172,True,2,9,True,
3,0,3,"(3,0,3)",-2457.939841218542,-2421.7358325613704,1238.969920609271,0.09072231843480534,True,9,10,True,
