p,d,q,order,aic,bic,log_likelihood,lb_pvalue,lb_pass,n_significant,n_total,converged,error
0,0,0,"(0,0,0)",-2100.465837171124,-2085.9842337082555,1054.232918585562,0.0,False,3,4,True,
0,0,1,"(0,0,1)",-2317.792932663161,-2299.6909283345753,1163.8964663315805,3.678035218199879e-187,False,4,5,True,
0,0,2,"(0,0,2)",-2392.167697730997,-2370.445292536694,1202.0838488654986,1.0077887749316231e-75,False,5,6,True,
0,0,3,"(0,0,3)",-2535.5113678720136,-2510.1685618119936,1274.7556839360068,5.58729728373684e-55,False,6,7,True,
1,0,0,"(1,0,0)",-2670.4453915679087,-2652.343387239323,1340.2226957839544,1.277436976426389e-10,False,3,5,True,
1,0,1,"(1,0,1)",-2673.139834445853,-2651.41742925155,1342.5699172229265,1.9829546940555182e-08,False,4,6,True,
1,0,2,"(1,0,2)",-2677.018211237664,-2651.6754051776443,1345.509105618832,1.823691477868076e-08,False,3,7,True,
1,0,3,"(1,0,3)",-2683.933793951862,-2654.9705870261246,1349.966896975931,0.00010065116515316272,False,5,8,True,
2,0,0,"(2,0,0)",-2674.6869497167927,-2652.9645445224896,1343.3434748583963,4.817967815246845e-08,False,5,6,True,
2,0,1,"(2,0,1)",-2676.9989456608864,-2651.6561396008665,1345.4994728304432,4.3759209100663487e-07,False,4,7,True,
2,0,2,"(2,0,2)",-2686.7995928961636,-2657.8363859704264,1351.3997964480818,6.825641136815957e-05,False,3,8,True,
2,0,3,"(2,0,3)",-2681.9671486134484,-2649.3835408219943,1349.9835743067242,0.00010843490048100591,False,1,9,True,
3,0,0,"(3,0,0)",-2680.7184384831544,-2655.3756324231344,1347.3592192415772,1.430754039893231e-07,False,4,7,True,
3,0,1,"(3,0,1)",-2682.3097255742427,-2653.3465186485055,1349.1548627871214,2.371224399412086e-06,False,3,8,True,
3,0,2,"(3,0,2)",-2679.6369146021134,-2647.0533068106593,1348.8184573010567,3.7248906750442444e-05,False,3,9,True,
3,0,3,"(3,0,3)",-2627.851274677366,-2591.6472660201944,1323.925637338683,1.2469562362830837e-19,False,5,10,True,
