period,actual,forecast,lower_ci,upper_ci,in_ci,n_train,Country
2019-01-01,1.4439347502998245,1.56470545081202,1.0578700730542907,1.888815393188177,True,252,Belgium
2019-02-01,1.6062378010130551,1.523321074761905,1.1005927790172518,1.7878092182628043,True,253,Belgium
2019-03-01,1.73340132130404,1.5980742524243345,1.1954311161182276,1.818343871037701,True,254,Belgium
2019-04-01,1.8772981612869444,1.7507032325375977,1.3993428140149309,2.139089284153621,True,255,Belgium
2019-05-01,1.6459384954813139,1.759520225044992,1.3571397253219746,2.1872756848503254,True,256,Belgium
2019-06-01,1.9214564944620705,1.759283045479666,1.3906841168014077,2.2428481283594315,True,257,Belgium
2019-07-01,1.7592537285357146,1.8860920784120798,1.4936233198031104,2.25122698116146,True,258,Belgium
2019-08-01,1.6202468959953364,1.7294632527950098,1.3958359993596323,2.1611993390466853,True,259,Belgium
2019-09-01,1.5231049556073017,1.611197915962216,1.0694279357735657,2.1568161511816544,True,260,Belgium
2019-10-01,1.7208662652048012,1.6570988094220975,1.2815747823072856,2.145092662321337,True,261,Belgium
2019-11-01,1.618765056230398,1.6666382315330175,1.3687504310508334,2.011209097244538,True,262,Belgium
2019-12-01,1.59711357389547,1.5811823394090716,1.3031660291738716,1.9996942873883896,True,263,Belgium
